problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard3_0025,False,False,True,True,VERDICT: FALSE,132.84,3053,797,0.000746,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * ((y * x) * x). Rightmost variable of LHS is x. Rightmost variable of RHS is x. x
hard3_0031,False,False,True,True,VERDICT: FALSE,171.26,3052,662,0.000692,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a * b = b):\n   - Equation 1: x = (x * y) * (x * x).\n     Right-zero reduction: x = (y) * (x) = x.\n     Equation 1
hard3_0032,False,False,True,True,VERDICT: FALSE,42.27,3052,555,0.000649,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a * b = b):\n   - Equation 1: x = (y * x) * (x * z).\n     Right-zero reduction: x = (x) * (z) = z.\n     This does 
hard3_0041,False,False,True,True,VERDICT: FALSE,79.80,3052,697,0.000706,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = ((x * x) * x) * y.\n     Right-zero reduction: x = y.\n     This does not hold for a
hard3_0045,False,,,False,,180.00,0,0,0.000000,[EXCEPTION] TimeoutError: 
hard3_0062,False,False,True,True,VERDICT: FALSE,31.48,3055,563,0.000653,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = x * (x * (y * (y * x))). Rightmost variable of LHS is x. Rightmost variable of RHS i
hard3_0069,False,False,True,True,VERDICT: FALSE,75.88,3056,657,0.000691,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * (x * (z * (x * x)))\n     Right-zero reduction: x = x. (Holds)\n   - Equation 2:
hard3_0072,False,False,True,True,VERDICT: FALSE,172.28,3055,612,0.000673,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * (y * (y * (x * y)))\n     Right-zero reduction: x = y. This does not hold for al
hard3_0077,True,False,False,True,VERDICT: FALSE,179.22,3054,750,0.000728,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * (z * (y * (x * x)))\n     Right-zero reduction: x = x. (Holds)\n   - Equation 2:
hard3_0088,True,True,True,True,VERDICT: TRUE,39.04,3054,208,0.000511,"VERDICT: TRUE\nRULE: left projection\n\nReasoning:\n1. Equation 1 is $x = x * (y * ((y * z) * w))$. This is a bare equation of the form $x = x * T$, where $T = (y * ((y * z) * w))$.\n2. The term $T$ d"
hard3_0090,True,True,True,True,VERDICT: TRUE,110.35,3056,177,0.000499,VERDICT: TRUE\nRULE: left projection\n\nReasoning:\n1. Equation 1 is $x = x * (y * ((z * z) * w))$. This is of the form $x = x * T$ where $T = (y * ((z * z) * w))$ and $T$ does not contain $x$.\n2. Ac
hard3_0093,False,,,False,,180.00,0,0,0.000000,[EXCEPTION] TimeoutError: 
hard3_0094,False,False,True,True,VERDICT: FALSE,37.81,3055,564,0.000653,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * (y * ((z * x) * x)). Rightmost variable of LHS is x. Rightmost variable of RHS i
hard3_0098,False,False,True,True,VERDICT: FALSE,99.68,3056,809,0.000751,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * (z * ((y * y) * x)). Rightmost variable of LHS is x. Rightmost variable of RHS i
hard3_0112,False,False,True,True,VERDICT: FALSE,10.76,3055,688,0.000703,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * ((y * x) * (x * x)).\n     Right-zero reduction: x = (y * x) * (x * x) -> (x) * 
hard3_0113,False,False,True,True,VERDICT: FALSE,91.77,3055,627,0.000679,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * ((y * y) * (x * x)). Rightmost variable of LHS is x. Rightmost variable of RHS i
hard3_0115,True,False,False,True,VERDICT: FALSE,146.23,3056,632,0.000681,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * ((y * z) * (x * x)).\n     Right-zero reduction: x = (x * x) = x. (Holds)\n   - 
hard3_0122,False,,,False,,180.00,0,0,0.000000,[EXCEPTION] TimeoutError: 
hard3_0141,False,False,True,True,VERDICT: FALSE,67.81,3054,644,0.000685,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * ((x * (y * y)) * x).\n     Right-zero reduction: x = x. (Holds)\n   - Equation 2
hard3_0150,False,False,True,True,VERDICT: FALSE,129.46,3055,840,0.000764,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = x * (((y * x) * y) * z). Rightmost variable of LHS is x. Rightmost variable of RHS i
hard3_0162,True,,,False,,180.00,0,0,0.000000,[EXCEPTION] TimeoutError: 
hard3_0164,False,False,True,True,VERDICT: FALSE,74.16,3056,871,0.000776,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = (y * x) * (x * (z * x)).\n     Right-zero reduction: (y * x) -> x; (z * x) -> x; (x 
hard3_0172,False,False,True,True,VERDICT: FALSE,160.38,3056,666,0.000694,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = (y * y) * (x * (z * x)).\n     Right-zero reduction: x = x. (Holds)\n   - Equation 2
hard3_0173,False,,,False,,180.00,0,0,0.000000,[EXCEPTION] TimeoutError: 
hard3_0177,False,False,True,True,VERDICT: FALSE,46.03,3056,752,0.000729,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = (y * z) * (y * (y * x)). Rightmost variable of LHS is x. Rightmost variable of RHS i
hard3_0179,False,False,True,True,VERDICT: FALSE,138.39,3056,701,0.000708,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = (y * z) * (z * (x * x)).\n     Right-zero reduction: x = (z) * (x * x) = (x * x) = x
hard3_0189,False,,,False,,180.00,0,0,0.000000,[EXCEPTION] TimeoutError: 
hard3_0206,False,False,True,True,VERDICT: FALSE,42.17,3055,818,0.000755,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a * b = b):\n   - Equation 1: x = (y * (y * x)) * (y * x).\n     Right-zero reduction: (y * (y * x)) * (y * x) → (y 
hard3_0214,True,False,False,True,VERDICT: FALSE,117.66,3056,778,0.000739,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = ((x * x) * y) * (x * z).\n     Right-zero reduction: x = z.\n     This does not hold
hard3_0220,False,False,True,True,VERDICT: FALSE,156.41,3057,680,0.000700,VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. Test Equation 1 (x = ((x * y) * y) * (z * w)) under left-zero (a * b = a):\n   LHS = x\n   RHS = ((x * y) * y) * (z * w) → (x * y) * (z * w) →
hard3_0243,True,False,False,True,VERDICT: FALSE,12.18,3057,803,0.000749,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = ((y * z) * x) * (w * x).\n     Right-zero reduction: x = x * x = x. (Holds)\n   - Eq
