problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard2_0001,False,True,False,True,labeled:TRUE,1048.16,2449,2376,0.000547,"REASONING: DEFAULT\nPROOF: No rule forces a counterexample, so Eq1 does not forbid Eq2.\nCOUNTEREXAMPLE: \nVERDICT: TRUE"
hard2_0002,False,True,False,True,labeled:TRUE,1211.38,2448,2056,0.000486,"REASONING: DEFAULT\nPROOF: No rule forces a contradiction, so Eq1 does not preclude Eq2.\nCOUNTEREXAMPLE: \nVERDICT: TRUE"
hard2_0003,True,True,True,True,labeled:TRUE,1282.49,2446,982,0.000282,"REASONING: DEFAULT\nPROOF: The shortcut and forced-behavior rules do not apply, and none of the affine or heuristic refutations succeed, so Eq1 does not contradict Eq2.\nCOUNTEREXAMPLE: \nVERDICT: TRU"
hard2_0004,True,False,False,True,labeled:FALSE,55.50,2448,2587,0.000587,REASONING: H3\nPROOF: \nCOUNTEREXAMPLE: \nVERDICT: FALSE
hard2_0005,True,True,True,True,labeled:TRUE,198.14,2448,1609,0.000401,REASONING: DEFAULT\nPROOF: Equation 1 does not force Equation 2 in all magmas.\nCOUNTEREXAMPLE: \nVERDICT: TRUE
hard2_0006,True,True,True,True,labeled:TRUE,327.20,2448,2473,0.000565,"REASONING: DEFAULT\nPROOF: No rule forces a contradiction, so Eq1 does not prevent Eq2.\nCOUNTEREXAMPLE: \nVERDICT: TRUE"
hard2_0007,False,True,False,True,labeled:TRUE,403.56,2448,1246,0.000332,"REASONING: DEFAULT\nPROOF: No shortcut or probe refutes the target, and no heuristic rejects, so Eq1 does not force Eq2.\nCOUNTEREXAMPLE: \nVERDICT: TRUE"
hard2_0008,True,True,True,True,labeled:TRUE,483.05,2447,1357,0.000353,"REASONING: DEFAULT\nPROOF: No rule forces a failure, so Eq1 does not prevent Eq2 in all magmas.\nCOUNTEREXAMPLE: \nVERDICT: TRUE"
hard2_0009,False,True,False,True,labeled:TRUE,599.93,2448,2825,0.000632,"REASONING: DEFAULT\nPROOF: No rule forces a counterexample, so Eq1 does not refute Eq2.\nCOUNTEREXAMPLE: \nVERDICT: TRUE"
hard2_0010,False,False,True,True,labeled:FALSE,699.90,2449,2455,0.000562,REASONING: A10\nPROOF: \nCOUNTEREXAMPLE: under the probe u*v = -2u -2v (mod 5) the source holds but the target fails.\nVERDICT: FALSE
hard2_0011,False,True,False,True,labeled:TRUE,839.98,2445,2819,0.000631,"REASONING: DEFAULT\nPROOF: No rule forces a violation, so Eq1 does not preclude Eq2.\nCOUNTEREXAMPLE: \nVERDICT: TRUE"
hard2_0012,False,True,False,True,labeled:TRUE,939.40,2448,2612,0.000592,"REASONING: DEFAULT\nPROOF: No decisive rule forces a counterexample, so Eq1 does not forbid Eq2.\nCOUNTEREXAMPLE: \nVERDICT: TRUE"
hard2_0013,False,True,False,True,labeled:TRUE,1038.04,2448,1791,0.000436,"REASONING: DEFAULT\nPROOF: No rule forces Eq2 from Eq1, so Eq1 does not imply Eq2.\nCOUNTEREXAMPLE: \nVERDICT: TRUE"
hard2_0014,False,True,False,True,labeled:TRUE,1162.62,2448,2861,0.000639,"REASONING: DEFAULT\nPROOF: No rule forces a counterexample, so Eq1 does not preclude Eq2.\nCOUNTEREXAMPLE: \nVERDICT: TRUE"
hard2_0015,False,True,False,True,labeled:TRUE,1267.44,2447,2570,0.000584,REASONING: DEFAULT\nPROOF: The source equation does not impose any restriction that makes the target equation fail in all magmas.\nCOUNTEREXAMPLE: \nVERDICT: TRUE
