problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard2_0001,False,False,True,True,VERDICT: FALSE,4.42,65,4,0.000022,VERDICT: FALSE
hard2_0002,False,False,True,True,VERDICT: FALSE,4.87,66,4,0.000023,VERDICT: FALSE
hard2_0003,True,False,False,True,VERDICT: FALSE,5.78,63,4,0.000022,VERDICT: FALSE
hard2_0004,True,False,False,True,VERDICT: FALSE,5.58,65,4,0.000022,VERDICT: FALSE
hard2_0005,True,False,False,True,VERDICT: FALSE,6.17,66,4,0.000023,VERDICT: FALSE
hard2_0006,True,False,False,True,VERDICT: FALSE,1.05,67,4,0.000023,VERDICT: FALSE
hard2_0007,False,False,True,True,VERDICT: FALSE,0.95,66,4,0.000023,VERDICT: FALSE
hard2_0008,True,False,False,True,VERDICT: FALSE,1.05,66,4,0.000023,VERDICT: FALSE
hard2_0009,False,False,True,True,VERDICT: FALSE,2.12,65,4,0.000022,VERDICT: FALSE
hard2_0010,False,False,True,True,VERDICT: FALSE,2.68,67,4,0.000023,VERDICT: FALSE
hard2_0011,False,False,True,True,VERDICT: FALSE,2.35,63,4,0.000022,VERDICT: FALSE
hard2_0012,False,False,True,True,VERDICT: FALSE,3.67,65,4,0.000022,VERDICT: FALSE
hard2_0013,False,False,True,True,VERDICT: FALSE,3.22,66,4,0.000023,VERDICT: FALSE
hard2_0014,False,False,True,True,VERDICT: FALSE,3.51,66,4,0.000023,VERDICT: FALSE
hard2_0015,False,False,True,True,VERDICT: FALSE,4.03,65,4,0.000022,VERDICT: FALSE
hard2_0016,False,False,True,True,VERDICT: FALSE,4.27,65,4,0.000022,VERDICT: FALSE
hard2_0017,True,False,False,True,VERDICT: FALSE,5.28,65,4,0.000022,VERDICT: FALSE
hard2_0018,True,False,False,True,VERDICT: FALSE,5.37,62,4,0.000022,VERDICT: FALSE
hard2_0019,True,False,False,True,VERDICT: FALSE,5.34,64,4,0.000022,VERDICT: FALSE
hard2_0020,False,False,True,True,VERDICT: FALSE,6.58,65,4,0.000022,VERDICT: FALSE
hard2_0021,True,False,False,True,VERDICT: FALSE,6.31,65,4,0.000022,VERDICT: FALSE
hard2_0022,True,False,False,True,VERDICT: FALSE,6.43,65,4,0.000022,VERDICT: FALSE
hard2_0023,True,False,False,True,VERDICT: FALSE,1.31,62,4,0.000022,VERDICT: FALSE
hard2_0024,True,False,False,True,VERDICT: FALSE,0.69,62,4,0.000022,VERDICT: FALSE
hard2_0025,False,False,True,True,VERDICT: FALSE,1.58,63,4,0.000022,VERDICT: FALSE
hard2_0026,True,False,False,True,VERDICT: FALSE,2.11,66,4,0.000023,VERDICT: FALSE
hard2_0027,False,False,True,True,VERDICT: FALSE,2.12,66,4,0.000023,VERDICT: FALSE
hard2_0028,True,False,False,True,VERDICT: FALSE,2.51,64,4,0.000022,VERDICT: FALSE
hard2_0029,False,False,True,True,VERDICT: FALSE,3.48,63,4,0.000022,VERDICT: FALSE
hard2_0030,True,False,False,True,VERDICT: FALSE,3.52,65,4,0.000022,VERDICT: FALSE
hard2_0031,False,False,True,True,VERDICT: FALSE,3.56,65,4,0.000022,VERDICT: FALSE
hard2_0032,False,False,True,True,VERDICT: FALSE,4.09,64,4,0.000022,VERDICT: FALSE
hard2_0033,True,False,False,True,VERDICT: FALSE,4.85,66,4,0.000023,VERDICT: FALSE
hard2_0034,False,False,True,True,VERDICT: FALSE,4.95,64,4,0.000022,VERDICT: FALSE
hard2_0035,True,False,False,True,VERDICT: FALSE,5.76,65,4,0.000022,VERDICT: FALSE
hard2_0036,True,False,False,True,VERDICT: FALSE,6.16,67,4,0.000023,VERDICT: FALSE
hard2_0037,True,False,False,True,VERDICT: FALSE,6.17,66,4,0.000023,VERDICT: FALSE
hard2_0038,False,False,True,True,VERDICT: FALSE,1.33,65,4,0.000022,VERDICT: FALSE
hard2_0039,True,False,False,True,VERDICT: FALSE,0.77,65,4,0.000022,VERDICT: FALSE
hard2_0040,True,False,False,True,VERDICT: FALSE,0.95,63,4,0.000022,VERDICT: FALSE
hard2_0041,False,False,True,True,VERDICT: FALSE,1.57,67,4,0.000023,VERDICT: FALSE
hard2_0042,False,False,True,True,VERDICT: FALSE,2.09,65,4,0.000022,VERDICT: FALSE
hard2_0043,False,False,True,True,VERDICT: FALSE,2.41,66,4,0.000023,VERDICT: FALSE
hard2_0044,True,False,False,True,VERDICT: FALSE,2.96,65,4,0.000022,VERDICT: FALSE
hard2_0045,False,False,True,True,VERDICT: FALSE,3.40,64,4,0.000022,VERDICT: FALSE
hard2_0046,False,False,True,True,VERDICT: FALSE,3.75,66,4,0.000023,VERDICT: FALSE
hard2_0047,False,False,True,True,VERDICT: FALSE,4.09,63,4,0.000022,VERDICT: FALSE
hard2_0048,False,False,True,True,VERDICT: FALSE,4.28,66,4,0.000023,VERDICT: FALSE
hard2_0049,True,False,False,True,VERDICT: FALSE,5.28,65,4,0.000022,VERDICT: FALSE
hard2_0050,True,False,False,True,VERDICT: FALSE,5.65,62,4,0.000022,VERDICT: FALSE
hard2_0051,False,False,True,True,VERDICT: FALSE,5.82,66,4,0.000023,VERDICT: FALSE
hard2_0052,False,False,True,True,VERDICT: FALSE,5.87,66,4,0.000023,VERDICT: FALSE
hard2_0053,True,False,False,True,VERDICT: FALSE,6.41,67,4,0.000023,VERDICT: FALSE
hard2_0054,False,False,True,True,VERDICT: FALSE,6.71,66,4,0.000023,VERDICT: FALSE
hard2_0055,False,False,True,True,VERDICT: FALSE,0.81,65,4,0.000022,VERDICT: FALSE
hard2_0056,False,False,True,True,VERDICT: FALSE,0.85,67,4,0.000023,VERDICT: FALSE
hard2_0057,True,False,False,True,VERDICT: FALSE,1.87,67,4,0.000023,VERDICT: FALSE
hard2_0058,True,False,False,True,VERDICT: FALSE,2.32,66,4,0.000023,VERDICT: FALSE
hard2_0059,True,False,False,True,VERDICT: FALSE,2.67,66,4,0.000023,VERDICT: FALSE
hard2_0060,True,False,False,True,VERDICT: FALSE,2.63,66,4,0.000023,VERDICT: FALSE
hard2_0061,True,False,False,True,VERDICT: FALSE,2.92,65,4,0.000022,VERDICT: FALSE
hard2_0062,False,False,True,True,VERDICT: FALSE,3.51,63,4,0.000022,VERDICT: FALSE
hard2_0063,True,False,False,True,VERDICT: FALSE,4.28,62,4,0.000022,VERDICT: FALSE
hard2_0064,False,False,True,True,VERDICT: FALSE,4.28,67,4,0.000023,VERDICT: FALSE
hard2_0065,True,False,False,True,VERDICT: FALSE,4.45,64,4,0.000022,VERDICT: FALSE
hard2_0066,True,False,False,True,VERDICT: FALSE,5.56,66,4,0.000023,VERDICT: FALSE
hard2_0067,False,False,True,True,VERDICT: FALSE,5.30,68,4,0.000023,VERDICT: FALSE
hard2_0068,False,False,True,True,VERDICT: FALSE,6.32,65,4,0.000022,VERDICT: FALSE
hard2_0069,True,False,False,True,VERDICT: FALSE,6.31,65,4,0.000022,VERDICT: FALSE
hard2_0070,True,False,False,True,VERDICT: FALSE,0.84,64,4,0.000022,VERDICT: FALSE
hard2_0071,False,False,True,True,VERDICT: FALSE,1.07,63,4,0.000022,VERDICT: FALSE
hard2_0072,True,False,False,True,VERDICT: FALSE,1.05,66,4,0.000023,VERDICT: FALSE
hard2_0073,True,False,False,True,VERDICT: FALSE,1.64,66,4,0.000023,VERDICT: FALSE
hard2_0074,True,False,False,True,VERDICT: FALSE,1.98,67,4,0.000023,VERDICT: FALSE
hard2_0075,True,False,False,True,VERDICT: FALSE,2.34,66,4,0.000023,VERDICT: FALSE
hard2_0076,False,False,True,True,VERDICT: FALSE,2.86,66,4,0.000023,VERDICT: FALSE
hard2_0077,False,False,True,True,VERDICT: FALSE,3.40,66,4,0.000023,VERDICT: FALSE
hard2_0078,True,False,False,True,VERDICT: FALSE,3.69,64,4,0.000022,VERDICT: FALSE
hard2_0079,True,False,False,True,VERDICT: FALSE,4.01,65,4,0.000022,VERDICT: FALSE
hard2_0080,True,False,False,True,VERDICT: FALSE,4.40,66,4,0.000023,VERDICT: FALSE
hard2_0081,True,False,False,True,VERDICT: FALSE,4.96,66,4,0.000023,VERDICT: FALSE
hard2_0082,True,False,False,True,VERDICT: FALSE,5.25,65,4,0.000022,VERDICT: FALSE
hard2_0083,True,False,False,True,VERDICT: FALSE,5.47,65,4,0.000022,VERDICT: FALSE
hard2_0084,False,False,True,True,VERDICT: FALSE,5.90,65,4,0.000022,VERDICT: FALSE
hard2_0085,True,False,False,True,VERDICT: FALSE,6.47,66,4,0.000023,VERDICT: FALSE
hard2_0086,True,False,False,True,VERDICT: FALSE,6.95,66,4,0.000023,VERDICT: FALSE
hard2_0087,False,False,True,True,VERDICT: FALSE,1.41,65,4,0.000022,VERDICT: FALSE
hard2_0088,False,False,True,True,VERDICT: FALSE,0.90,63,4,0.000022,VERDICT: FALSE
hard2_0089,True,False,False,True,VERDICT: FALSE,1.81,66,4,0.000023,VERDICT: FALSE
hard2_0090,False,False,True,True,VERDICT: FALSE,1.76,64,4,0.000022,VERDICT: FALSE
hard2_0091,True,False,False,True,VERDICT: FALSE,2.49,65,4,0.000022,VERDICT: FALSE
hard2_0092,False,False,True,True,VERDICT: FALSE,3.16,65,4,0.000022,VERDICT: FALSE
hard2_0093,False,False,True,True,VERDICT: FALSE,3.16,66,4,0.000023,VERDICT: FALSE
hard2_0094,True,False,False,True,VERDICT: FALSE,3.46,66,4,0.000023,VERDICT: FALSE
hard2_0095,False,False,True,True,VERDICT: FALSE,3.66,64,4,0.000022,VERDICT: FALSE
hard2_0096,False,False,True,True,VERDICT: FALSE,4.72,64,4,0.000022,VERDICT: FALSE
hard2_0097,True,False,False,True,VERDICT: FALSE,4.50,65,4,0.000022,VERDICT: FALSE
hard2_0098,True,False,False,True,VERDICT: FALSE,5.08,66,4,0.000023,VERDICT: FALSE
hard2_0099,True,False,False,True,VERDICT: FALSE,5.65,66,4,0.000023,VERDICT: FALSE
hard2_0100,False,False,True,True,VERDICT: FALSE,6.58,64,4,0.000022,VERDICT: FALSE
hard2_0101,True,False,False,True,VERDICT: FALSE,6.82,59,4,0.000021,VERDICT: FALSE
hard2_0102,False,False,True,True,VERDICT: FALSE,1.35,65,4,0.000022,VERDICT: FALSE
hard2_0103,True,False,False,True,VERDICT: FALSE,1.39,63,4,0.000022,VERDICT: FALSE
hard2_0104,False,False,True,True,VERDICT: FALSE,1.36,64,4,0.000022,VERDICT: FALSE
hard2_0105,False,False,True,True,VERDICT: FALSE,2.83,65,4,0.000022,VERDICT: FALSE
hard2_0106,True,False,False,True,VERDICT: FALSE,1.96,65,4,0.000022,VERDICT: FALSE
hard2_0107,True,False,False,True,VERDICT: FALSE,2.46,67,4,0.000023,VERDICT: FALSE
hard2_0108,False,False,True,True,VERDICT: FALSE,2.98,65,4,0.000022,VERDICT: FALSE
hard2_0109,False,False,True,True,VERDICT: FALSE,3.37,66,4,0.000023,VERDICT: FALSE
hard2_0110,True,False,False,True,VERDICT: FALSE,3.69,66,4,0.000023,VERDICT: FALSE
hard2_0111,True,False,False,True,VERDICT: FALSE,4.72,64,4,0.000022,VERDICT: FALSE
hard2_0112,False,False,True,True,VERDICT: FALSE,5.12,64,4,0.000022,VERDICT: FALSE
hard2_0113,True,False,False,True,VERDICT: FALSE,4.73,65,4,0.000022,VERDICT: FALSE
hard2_0114,True,False,False,True,VERDICT: FALSE,5.08,62,4,0.000022,VERDICT: FALSE
hard2_0115,True,False,False,True,VERDICT: FALSE,5.81,66,4,0.000023,VERDICT: FALSE
hard2_0116,True,False,False,True,VERDICT: FALSE,6.31,66,4,0.000023,VERDICT: FALSE
hard2_0117,True,False,False,True,VERDICT: FALSE,6.42,64,4,0.000022,VERDICT: FALSE
hard2_0118,False,False,True,True,VERDICT: FALSE,6.47,67,4,0.000023,VERDICT: FALSE
hard2_0119,True,False,False,True,VERDICT: FALSE,0.92,62,4,0.000022,VERDICT: FALSE
hard2_0120,True,False,False,True,VERDICT: FALSE,1.05,66,4,0.000023,VERDICT: FALSE
hard2_0121,True,False,False,True,VERDICT: FALSE,1.59,66,4,0.000023,VERDICT: FALSE
hard2_0122,False,False,True,True,VERDICT: FALSE,2.10,66,4,0.000023,VERDICT: FALSE
hard2_0123,False,False,True,True,VERDICT: FALSE,2.40,66,4,0.000023,VERDICT: FALSE
hard2_0124,False,False,True,True,VERDICT: FALSE,3.16,65,4,0.000022,VERDICT: FALSE
hard2_0125,False,False,True,True,VERDICT: FALSE,3.17,66,4,0.000023,VERDICT: FALSE
hard2_0126,True,False,False,True,VERDICT: FALSE,4.02,61,4,0.000021,VERDICT: FALSE
hard2_0127,True,False,False,True,VERDICT: FALSE,3.75,65,4,0.000022,VERDICT: FALSE
hard2_0128,True,False,False,True,VERDICT: FALSE,4.28,66,4,0.000023,VERDICT: FALSE
hard2_0129,False,False,True,True,VERDICT: FALSE,4.50,66,4,0.000023,VERDICT: FALSE
hard2_0130,True,False,False,True,VERDICT: FALSE,5.13,66,4,0.000023,VERDICT: FALSE
hard2_0131,True,False,False,True,VERDICT: FALSE,5.46,66,4,0.000023,VERDICT: FALSE
hard2_0132,True,False,False,True,VERDICT: FALSE,6.38,64,4,0.000022,VERDICT: FALSE
hard2_0133,False,False,True,True,VERDICT: FALSE,6.32,65,4,0.000022,VERDICT: FALSE
hard2_0134,False,False,True,True,VERDICT: FALSE,0.89,66,4,0.000023,VERDICT: FALSE
hard2_0135,False,False,True,True,VERDICT: FALSE,0.95,66,4,0.000023,VERDICT: FALSE
hard2_0136,True,False,False,True,VERDICT: FALSE,1.95,65,4,0.000022,VERDICT: FALSE
hard2_0137,True,False,False,True,VERDICT: FALSE,1.87,66,4,0.000023,VERDICT: FALSE
hard2_0138,True,False,False,True,VERDICT: FALSE,2.61,65,4,0.000022,VERDICT: FALSE
hard2_0139,False,False,True,True,VERDICT: FALSE,2.76,66,4,0.000023,VERDICT: FALSE
hard2_0140,True,False,False,True,VERDICT: FALSE,2.99,66,4,0.000023,VERDICT: FALSE
hard2_0141,True,False,False,True,VERDICT: FALSE,3.37,65,4,0.000022,VERDICT: FALSE
hard2_0142,False,False,True,True,VERDICT: FALSE,3.70,62,4,0.000022,VERDICT: FALSE
hard2_0143,False,False,True,True,VERDICT: FALSE,4.45,66,4,0.000023,VERDICT: FALSE
hard2_0144,False,False,True,True,VERDICT: FALSE,4.90,64,4,0.000022,VERDICT: FALSE
hard2_0145,True,False,False,True,VERDICT: FALSE,4.73,66,4,0.000023,VERDICT: FALSE
hard2_0146,False,False,True,True,VERDICT: FALSE,5.24,64,4,0.000022,VERDICT: FALSE
hard2_0147,True,False,False,True,VERDICT: FALSE,5.57,65,4,0.000022,VERDICT: FALSE
hard2_0148,False,False,True,True,VERDICT: FALSE,5.87,65,4,0.000022,VERDICT: FALSE
hard2_0149,True,False,False,True,VERDICT: FALSE,6.58,66,4,0.000023,VERDICT: FALSE
hard2_0150,False,False,True,True,VERDICT: FALSE,6.64,65,4,0.000022,VERDICT: FALSE
hard2_0151,False,False,True,True,VERDICT: FALSE,1.31,65,4,0.000022,VERDICT: FALSE
hard2_0152,False,False,True,True,VERDICT: FALSE,1.84,65,4,0.000022,VERDICT: FALSE
hard2_0153,True,False,False,True,VERDICT: FALSE,1.59,66,4,0.000023,VERDICT: FALSE
hard2_0154,True,False,False,True,VERDICT: FALSE,2.16,66,4,0.000023,VERDICT: FALSE
hard2_0155,True,False,False,True,VERDICT: FALSE,2.62,64,4,0.000022,VERDICT: FALSE
hard2_0156,False,False,True,True,VERDICT: FALSE,2.81,66,4,0.000023,VERDICT: FALSE
hard2_0157,False,False,True,True,VERDICT: FALSE,3.16,65,4,0.000022,VERDICT: FALSE
hard2_0158,False,False,True,True,VERDICT: FALSE,3.93,64,4,0.000022,VERDICT: FALSE
hard2_0159,True,False,False,True,VERDICT: FALSE,4.46,65,4,0.000022,VERDICT: FALSE
hard2_0160,True,False,False,True,VERDICT: FALSE,4.40,66,4,0.000023,VERDICT: FALSE
hard2_0161,False,False,True,True,VERDICT: FALSE,4.58,65,4,0.000022,VERDICT: FALSE
hard2_0162,True,False,False,True,VERDICT: FALSE,5.24,65,4,0.000022,VERDICT: FALSE
hard2_0163,False,False,True,True,VERDICT: FALSE,5.76,67,4,0.000023,VERDICT: FALSE
hard2_0164,True,False,False,True,VERDICT: FALSE,6.43,65,4,0.000022,VERDICT: FALSE
hard2_0165,False,False,True,True,VERDICT: FALSE,6.41,67,4,0.000023,VERDICT: FALSE
hard2_0166,False,False,True,True,VERDICT: FALSE,1.33,63,4,0.000022,VERDICT: FALSE
hard2_0167,False,False,True,True,VERDICT: FALSE,1.31,64,4,0.000022,VERDICT: FALSE
hard2_0168,True,False,False,True,VERDICT: FALSE,1.64,65,4,0.000022,VERDICT: FALSE
hard2_0169,False,False,True,True,VERDICT: FALSE,2.27,65,4,0.000022,VERDICT: FALSE
hard2_0170,True,False,False,True,VERDICT: FALSE,2.65,63,4,0.000022,VERDICT: FALSE
hard2_0171,False,False,True,True,VERDICT: FALSE,2.69,65,4,0.000022,VERDICT: FALSE
