problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard3_0001,True,True,True,True,VERDICT: TRUE,428.19,2949,834,0.000273,"VERDICT: TRUE\nRULE: right projection\nThe premise x = y * x forces b * a = a for all a,b, i.e., a * b = b (right‑projection).  \nUnder this law every product collapses to its rightmost variable, so t"
hard3_0002,True,True,True,True,VERDICT: TRUE,456.39,2951,1656,0.000430,"VERDICT: TRUE\nRULE: structural heuristic\n\nThe premise equation is bare with two variables, while the target uses only one variable and has a larger imbalance, satisfying heuristic T5. Hence the imp"
hard3_0003,True,True,True,True,VERDICT: TRUE,1943.93,2951,5899,0.001236,VERDICT: TRUE\nRULE: right projection
hard3_0004,True,True,True,True,VERDICT: TRUE,500.83,2955,916,0.000289,"VERDICT: TRUE\nRULE: singleton collapse\nSince Eq 1 forces the magma to have a single element (x does not occur in the term y * (z * w)), every equation, including Eq 2, holds in that magma"
hard3_0005,True,True,True,True,VERDICT: TRUE,644.31,2952,5513,0.001163,"VERDICT: TRUE\nRULE: right projection\n\nThe premise is a bare identity of the form x = T * x with x absent from T, forcing the right‑projection law a * b = b. Substituting this into the target makes "
hard3_0006,True,True,True,True,VERDICT: TRUE,658.60,2936,2581,0.000605,"VERDICT: TRUE\nRULE: exact instance\n\nEq2 is obtained by placing Eq1 inside the one‑hole context C[t] = x * t, i.e. C[x] = C[y] gives x * (x * x) = x * (y * z). Hence the implication holds in every m"
hard3_0007,False,False,True,True,VERDICT: FALSE,674.14,2936,2877,0.000661,"VERDICT: FALSE\nRULE: counterexample\n\nA magma can be defined by a left‑constant operation a * b = f(a) where f is not idempotent (e.g. on {0,1,2} let f(0)=1, f(1)=2, f(2)=2). Then x*x = x*y holds fo"
hard3_0008,True,True,True,True,VERDICT: TRUE,709.99,2936,690,0.000246,"VERDICT: TRUE\nRULE: constant operation\n\nThe equation x * x = y * z has disjoint variable sets on its two product sides, forcing the binary operation to be constant in every magma. With a constant o"
hard3_0009,False,False,True,True,VERDICT: FALSE,812.85,2956,5215,0.001106,"VERDICT: FALSE\nRULE: counterexample\n\nA 3‑element magma with operation table  \n0*0=0, 0*1=2, 0*2=0; 1*0=1, 1*1=1, 1*2=0; 2*0=1, 2*1=2, 2*2=2  \nsatisfies x = x *(x *(x *y)) for all x,y, but fails x"
hard3_0010,False,False,True,True,VERDICT: FALSE,786.39,2957,10321,0.002076,VERDICT: FALSE\nRULE: default
hard3_0011,False,True,False,True,VERDICT: TRUE,895.76,2956,6114,0.001277,"VERDICT: TRUE\nRULE: structural heuristic\n\nThe premise of T1 holds: Eq 1 is bare with three variables, and Eq 2 contains more variable occurrences than Eq 1. Hence Eq 2 follows from Eq 1 in all magm"
hard3_0012,False,False,True,True,VERDICT: FALSE,896.31,2941,12137,0.002421,VERDICT: FALSE\nRULE: counterexample
hard3_0013,False,True,False,True,VERDICT: TRUE,910.22,2956,1518,0.000404,"VERDICT: TRUE\nRULE: structural heuristic\n\nThe premise equation is bare and involves three distinct variables (x, y, z).  \nThe target equation is larger (size 6) than the premise (size 5), satisfyi"
hard3_0014,True,True,True,True,VERDICT: TRUE,2022.17,2954,6260,0.001305,VERDICT: TRUE\nRULE: left projection
hard3_0015,True,True,True,True,VERDICT: TRUE,988.85,2955,810,0.000269,"VERDICT: TRUE\nRULE: left projection\nThe premise x = x * T with T not containing x forces a * b = a, and under this collapse both sides of the target equation become x."
hard3_0016,False,False,True,True,VERDICT: FALSE,1035.41,2965,4274,0.000928,"VERDICT: FALSE\nRULE: counterexample\n\nA magma with three elements {0,1,2} and operation defined by a * b = f(b), where f is the 3‑cycle 0→1→2→0, satisfies x = y * (x * (x * x)) for all x,y (since f³"
