problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
saircommunity_0001,False,False,True,True,labeled:FALSE,3189.81,3283,603,0.000243,REASONING: default false fallback\nVERDICT: FALSE
saircommunity_0002,True,False,False,True,labeled:FALSE,3234.68,3290,1366,0.000388,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0003,False,False,True,True,labeled:FALSE,3245.45,3284,572,0.000237,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0004,True,False,False,True,labeled:FALSE,3292.92,3289,1555,0.000424,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0005,False,False,True,True,labeled:FALSE,3297.00,3284,451,0.000214,REASONING: default false fallback\nVERDICT: FALSE
saircommunity_0006,True,False,False,True,labeled:FALSE,3339.88,3289,1363,0.000387,REASONING: default false fallback\nVERDICT: FALSE
saircommunity_0007,False,False,True,True,labeled:FALSE,3356.98,3283,637,0.000249,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0008,True,False,False,True,labeled:FALSE,3400.29,3289,1461,0.000406,REASONING: default false fallback\nVERDICT: FALSE
saircommunity_0009,False,False,True,True,labeled:FALSE,3411.50,3280,1117,0.000340,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0010,True,False,False,True,labeled:FALSE,3438.24,3289,1351,0.000385,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0011,False,False,True,True,labeled:FALSE,3458.37,3284,762,0.000273,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0012,True,False,False,True,labeled:FALSE,3494.66,3290,1712,0.000454,REASONING: default false fallback\nVERDICT: FALSE
saircommunity_0013,False,False,True,True,labeled:FALSE,3496.96,3283,604,0.000243,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
saircommunity_0014,True,True,True,True,labeled:TRUE,3534.09,3289,712,0.000264,"REASONING: The source equation is bare: x = (y * (((y * z) * x) * y)) * z. Analyzing the term P = (y * (((y * z) * x) * y)) * z gives the feature vector rv=3, Lx=FALSE, Rx=FALSE, xTop=left, ts=m‑v, rT"
saircommunity_0015,False,False,True,True,labeled:FALSE,3561.56,3284,689,0.000259,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
