problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard3_0050,False,True,False,True,labeled:TRUE,930.12,3128,2051,0.000512,"VERDICT: TRUE\nPROOF: Assume a magma (M,∗) satisfies the premise  \n\n  (1) ∀x,y  x∗x = y∗(y∗x).  \n\nFix any element a∈M. Taking y = a in (1) gives  \n\n  a∗(a∗x) = x∗x  for all x.  \n\nHence the rig"
hard3_0051,True,False,False,True,labeled:FALSE,244.19,3128,1212,0.000352,VERDICT: FALSE\nREASONING: default false fallback
hard3_0052,True,True,True,True,labeled:TRUE,569.90,3129,1365,0.000381,"VERDICT: TRUE\nREASONING: The premise Eq1 : x * y = z * (y * z) forces every binary product to be a constant element of the magma. Indeed, fixing any y, the left‑hand side shows that the map a ↦ a * y"
hard3_0053,True,False,False,True,labeled:FALSE,812.79,3129,138,0.000148,VERDICT: FALSE\nREASONING: default false fallback
hard3_0054,True,True,True,True,labeled:TRUE,172.43,3128,1033,0.000318,"VERDICT: TRUE\nREASONING: The premise \(x*y = z*(z*w)\) holds for all assignments of variables in a magma \((M,*)\).  \nTake arbitrary elements \(a,b,c,d\in M\).  By instantiating the variables we obt"
hard3_0055,False,True,False,True,labeled:TRUE,488.59,3128,1336,0.000376,"VERDICT: TRUE\nREASONING: The premise equation forces a left‑projection law.\nPROOF:  \nAssume a magma (M,*) satisfies  \n (1) ∀x,y,z  x * x = (x * y) * z.  \nFix arbitrary a,b∈M and put x:=a, y:=b, z"
hard3_0056,False,False,True,True,labeled:FALSE,803.16,3129,754,0.000265,VERDICT: FALSE\nREASONING: default false fallback
hard3_0057,False,False,True,True,labeled:FALSE,155.56,3125,1326,0.000374,VERDICT: FALSE\nREASONING: parity exclusion\nThe two sides of the premise \(x*x = (y*z)*z\) have the same parity of variable occurrences (each variable appears an even number of times on both sides). 
hard3_0058,True,True,True,True,labeled:TRUE,412.66,3125,643,0.000244,VERDICT: TRUE\nREASONING: The source equation Eq1 is of the form A = B where both A and B are product terms (neither side is a single variable) and the sets of variables occurring in A and B are disjo
hard3_0059,False,True,False,True,labeled:TRUE,766.87,3129,787,0.000272,"VERDICT: TRUE\nREASONING: The premise \(x * x = (y * z) * w\) forces the binary operation to be constant: for any elements \(a,b,c,d\) in the magma,\n\(a*a = (b*c)*d\). Choosing arbitrary \(b,c,d\) sh"
hard3_0060,True,False,False,True,labeled:FALSE,47.35,3129,902,0.000293,VERDICT: FALSE\nREASONING: default false fallback
hard3_0061,True,True,True,True,labeled:TRUE,375.57,3128,1158,0.000342,"VERDICT: TRUE\nPROOF:  \nAssume a magma \((M,*)\) satisfies the identity  \n\n\[\n\forall x,y,z\in M\;:\;x*y = (z*z)*z\tag{1}\n\]\n\nFix any element \(a\in M\).  Taking \(z=a\) in (1) gives  \n\n\[\nx"
hard3_0062,False,False,True,True,labeled:FALSE,719.67,3133,978,0.000308,VERDICT: FALSE\nREASONING: default false fallback
