problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,False,True,True,labeled:FALSE,121.53,3434,1324,0.001010,"STEP 1. EXTRACT FEATURES\nEq1: x = y * (y * ((x * y) * x))\nEq2: x * y = ((z * x) * w) * y\nEq1 is bare (LHS is single variable x).\nEq1: LHS = x, RHS = y * (y * ((x * y) * x))\nEq2: LHS = x * y, RHS "
hard1_0002,False,False,True,True,labeled:FALSE,139.29,3435,753,0.000782,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x * (y * z) = (z * w) * w\nEq2: x * (y * x) = (x * y) * z\n\nSTEP 2. TRUE ROUTES\n2.1 Exact renaming: No.\n2.2 Tautological target: No.\n2.3 Singleton collap
hard1_0003,True,True,True,True,labeled:TRUE,323.96,3432,531,0.000693,"STEP 1. EXTRACT FEATURES\nEq1: x = ((y * y) * z) * x\nEq2: x = x * (((y * x) * x) * x)\nEq1 is bare (LHS is single variable x).\nEq1: WORD(LHS) = [x], WORD(RHS) = [y, y, z, x]\nEq2: WORD(LHS) = [x], W"
hard1_0004,False,False,True,True,labeled:FALSE,61.04,3435,1199,0.000961,"STEP 1. EXTRACT FEATURES\nEq1: (x * y) * x = (x * z) * w\nEq2: x * (y * y) = x * (z * y)\n\nEq1:\nLHS: (x * y) * x. WORD: [x, y, x]. SET: {x, y}. AB: {x:2, y:1}. Leftmost: x. Rightmost: x.\nRHS: (x * "
hard1_0005,False,False,True,True,labeled:FALSE,116.23,3434,640,0.000737,"STEP 1. EXTRACT FEATURES\nEq1: x = ((y * z) * (z * x)) * y\nEq2: x * x = (y * (y * y)) * y\nEq1 is bare (x = T).\nT = ((y * z) * (z * x)) * y\nWORD(T) = [y, z, z, x, y]\nSET(T) = {x, y, z}\nAB(T) = {x"
hard1_0006,False,False,True,True,labeled:FALSE,277.35,3427,348,0.000619,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x * x = (x * y) * z\nEq2: x * x = (y * z) * w\n\nSTEP 2. TRUE ROUTES\n2.1 Exact renaming: Eq2 is not a renaming of Eq1. (Eq1 has x,y,z; Eq2 has x,y,z,w).\n2."
hard1_0007,True,True,True,True,labeled:TRUE,91.22,3434,600,0.000721,"STEP 1. EXTRACT FEATURES\nEq1: x = (y * (y * (y * z))) * x\nEq2: x * y = z * (w * (w * y))\n\nEq1:\nLHS: x\nRHS: (y * (y * (y * z))) * x\nWORD(LHS) = [x], WORD(RHS) = [y, y, y, z, x]\nSET(LHS) = {x}, "
hard1_0008,False,True,False,True,labeled:TRUE,94.46,3435,361,0.000625,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = x * (y * ((y * z) * y))\nEq2: x = x * ((x * (x * x)) * x)\n\nSTEP 2. TRUE ROUTES\n2.1 Exact renaming: No.\n2.2 Tautological target: No.\n2.3 Singleton co
hard1_0009,False,False,True,True,labeled:FALSE,339.88,3435,1327,0.001012,"STEP 1. EXTRACT FEATURES\nEq1: x = ((x * x) * (y * z)) * y\nEq2: x = ((x * (y * x)) * x) * y\n\nEq1:\nLHS: x\nRHS: ((x * x) * (y * z)) * y\nWORD(RHS): [x, x, y, z, y]\nSET(RHS): {x, y, z}\nAB(RHS): {x"
hard1_0010,False,False,True,True,labeled:FALSE,101.97,3435,1177,0.000952,"STEP 1. EXTRACT FEATURES\nEq1: (x * x) * y = (y * y) * z\nEq2: x * (y * y) = x * (z * z)\n\nEq1:\nLHS: (x * x) * y. WORD: [x, x, y]. SET: {x, y}. AB: {x:2, y:1}. Leftmost: x. Rightmost: y.\nRHS: (y * "
