problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard2_0001,False,False,True,True,labeled:FALSE,339.87,3229,350,0.000435,VERDICT: FALSE\nREASONING: Apply STEP 4.4 Constant (a*b=c for fixed c). Replace every product with constant c. Eq1: x * (y * z) = (y * w) * w becomes x * c = c * c = c. Eq2: x * (y * y) = (z * w) * u 
hard2_0002,False,False,True,True,labeled:FALSE,429.06,3230,1200,0.000707,"VERDICT: FALSE\nREASONING: We will follow the steps to determine if the implication holds over all magmas.\n\nFirst, let's analyze Eq1: x = y * ((y * (y * x)) * x). \n\nTo check if any of the TRUE rou"
hard2_0003,True,False,False,True,labeled:FALSE,482.82,3227,1345,0.000753,VERDICT: FALSE\nREASONING: Apply STEP 4.1 Left-zero (a*b=a) to check if Eq1 holds and Eq2 fails.\nStep 1: Replace every A*B with A recursively until single var.\nEq1 LHS: x * y reduces to x.\nEq1 RHS:
hard2_0004,True,False,False,True,labeled:FALSE,473.14,3229,258,0.000405,"VERDICT: FALSE\nREASONING: Apply STEP 1. EXTRACT FEATURES to Eq1: x = (((y * y) * x) * x) * z and Eq2: x = y * ((x * (y * z)) * w).\nFor Eq1, leftmost variable: x, rightmost variable: z, WORD: [y, y, "
hard2_0005,True,False,False,True,labeled:FALSE,531.53,3229,781,0.000573,"VERDICT: FALSE\nREASONING: Apply STEP 4.1 Left-zero (a*b=a) to check if Eq1 holds and Eq2 fails.\nFor Eq1: x = y * ((z * (z * x)) * y), replace every A*B with A recursively until single var.\nEq1 LHS "
hard2_0006,True,False,False,True,labeled:FALSE,562.42,3230,250,0.000403,"VERDICT: FALSE\nREASONING: Apply STEP 4.1 Left-zero (a*b=a) to check if Eq1 holds for all assignments and Eq2 fails for some.\nFor Eq1: x = y * (z * (x * (x * w))), replace every A*B with A recursivel"
hard2_0007,False,False,True,True,labeled:FALSE,642.14,3229,1123,0.000682,"VERDICT: FALSE\nREASONING: \nTo determine if the implication x * (x * y) = (z * y) * w implies x * (x * y) = y * (z * y) over all magmas, we follow the steps provided.\n\nFirst, we check for any true "
hard2_0008,True,False,False,True,labeled:FALSE,21.90,3229,463,0.000471,"VERDICT: FALSE\nREASONING: Apply STEP 1. EXTRACT FEATURES to Eq1: x = y * (x * (x * (z * y))). \nLeftmost variable: x, rightmost variable: y. \nWORD(Eq1) = [x,y,x,x,z,y], PARITY(Eq1) = [odd,odd,even,o"
hard2_0009,False,False,True,True,labeled:FALSE,68.85,3229,477,0.000476,"VERDICT: FALSE\nREASONING: Apply STEP 2.8: Bare-source contradiction motifs. \nEq1: x = y * ((x * z) * (z * y)). Normalize: single var on LEFT as x, product side = P = y * ((x * z) * (z * y)).\nCount "
hard2_0010,False,False,True,True,labeled:FALSE,105.10,3230,178,0.000380,"VERDICT: FALSE\nREASONING: Apply STEP 4.9 Spike-zero witness. \nFor Eq1: x = (x * y) * ((x * y) * y), any product of non-bare subterms evaluates to 0. \nThe equation holds because both sides evaluate "
hard2_0011,False,False,True,True,labeled:FALSE,183.05,3226,276,0.000411,"VERDICT: FALSE\nREASONING: Apply STEP 2.8: Bare-source contradiction motifs. \nEq1: x = y * ((x * (x * y)) * y). Normalize: single var on LEFT as x, product side = P = y * ((x * (x * y)) * y).\nCount "
hard2_0012,False,False,True,True,labeled:FALSE,272.96,3229,726,0.000555,"VERDICT: FALSE\nREASONING: Apply STEP 4.1 Left-zero (a*b=a) to check if Eq1 holds and Eq2 fails.\nFor Eq1: x = y * (((z * y) * x) * z), replace every A*B with A recursively until single var.\nEq1 LHS "
hard2_0013,False,False,True,True,labeled:FALSE,293.17,3229,177,0.000380,"VERDICT: FALSE\nREASONING: Apply STEP 4.1 Left-zero (a*b=a) to check if Eq1 holds and Eq2 fails.\nFor Eq1: x = (y * ((y * x) * x)), replace every A*B with A recursively: x = y.\nFor Eq2: x = x * (((x "
hard2_0014,False,False,True,True,labeled:FALSE,360.70,3229,379,0.000444,"VERDICT: FALSE\nREASONING: Apply STEP 4.1 Left-zero (a*b=a) to check if Eq1 holds and Eq2 fails.\nFor Eq1: x = y * ((x * (x * y)) * y), replace every A*B with A recursively until single var.\nEq1 LHS "
hard2_0015,False,False,True,True,labeled:FALSE,399.12,3228,203,0.000388,"VERDICT: FALSE\nREASONING: Apply STEP 4.1 Left-zero (a*b=a) to check if Eq1 holds for ALL assignments and Eq2 fails for SOME.\nFor Eq1: x * x = (y * (z * w)) * u, replace every A*B with A recursively "
hard2_0016,False,False,True,True,labeled:FALSE,462.95,3228,562,0.000503,"VERDICT: FALSE\nREASONING: Apply STEP 2.8: Bare-source contradiction motifs. \nEq1: x = x * (y * ((y * z) * y)). Normalize: single var on LEFT as x, product side = P = y * ((y * z) * y).\nCount rhsVar"
