problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard2_0001,False,False,True,True,VERDICT: FALSE,20.32,2566,2103,0.000308,VERDICT: FALSE\nRULE: default false
hard2_0002,False,False,True,True,FALSE,383.88,2580,16384,0.001880,"We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = y * ((y * (y * x)) * x)\n\nEq2: x = (y * (z * y)) * (y * x)\n\nWe need to apply steps.\n\nFirst, parse equations.\n\nEq1: left side: x"
hard2_0003,True,False,False,True,VERDICT: FALSE,360.69,2577,3186,0.000428,"VERDICT: FALSE\nRULE: default false\n\nThe identity x*y = y*(x*(z*x)) does not force the symmetry needed for x*y = (y*(z*x))*y in all magmas. No earlier TRUE or FALSE rule applies, and no small witnes"
hard2_0004,True,True,True,True,VERDICT: TRUE,433.20,2579,1451,0.000237,"VERDICT: TRUE\nRULE: contradiction motif\n\nThe right side of Eq1 has three distinct variables, x occurs twice, and the top split is a product–variable with x only on the left. This matches motif C7, "
hard2_0005,True,False,False,True,FALSE,572.49,2579,16384,0.001880,"We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = y * ((z * (z * x)) * y)\n\nEq2: x = (x * ((x * y) * y)) * x\n\nWe need to apply steps.\n\nFirst, parse equations.\n\nEq1: left side: x"
hard2_0006,True,True,True,True,VERDICT: TRUE,568.82,2580,1235,0.000213,"VERDICT: TRUE\nRULE: contradiction motif\n\nThe source equation is bare with four distinct variables and the leftmost variable is not x.  \nBy motif C1 this forces a contradiction in any magma, so the"
hard2_0007,False,False,True,True,FALSE,635.63,2579,16384,0.001880,We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x * (x * y) = (z * y) * w\nEq2: x * (x * y) = y * (z * y)\n\nWe need to see if Eq1 logically entails Eq2 in all magmas. We can try to find
hard2_0008,True,True,True,True,VERDICT: TRUE,707.80,2579,1515,0.000244,VERDICT: TRUE\nRULE: contradiction motif
hard2_0009,False,True,False,True,TRUE,782.45,2579,16384,0.001880,"We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = y * ((x * z) * (z * y))\n\nEq2: x = ((x * y) * (y * y)) * y\n\nWe need to apply steps.\n\nFirst, read both equations as binary trees.\"
hard2_0010,False,False,True,True,FALSE,72.96,2580,16384,0.001880,"We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = (x * y) * ((x * y) * y)\n\nEq2: x = (x * (x * (x * x))) * y\n\nWe need to see if Eq1 forces Eq2. Let's analyze.\n\nFirst, step 0: read"
hard2_0011,False,True,False,True,TRUE,165.45,2576,16384,0.001880,We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = y * ((x * (x * y)) * y)\n\nEq2: x = (y * (z * z)) * w\n\nWe need to see if Eq1 implies Eq2 universally.\n\nWe follow steps.\n\nSTEP 0:
hard2_0012,False,True,False,True,TRUE,171.70,2579,16384,0.001880,"We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = y * (((z * y) * x) * z)\n\nEq2: (x * x) * y = (y * z) * z\n\nWe need to see if Eq1 forces Eq2. Let's analyze.\n\nFirst, apply STEP 0: "
hard2_0013,False,False,True,True,VERDICT: FALSE,258.09,2584,3690,0.000483,"VERDICT: FALSE\nRULE: default false\n\nThe source equation is bare but does not match any of the projection, collapse, or motif patterns that would force a universal implication. No syntactic exclusio"
hard2_0014,False,False,True,True,FALSE,380.00,2581,16384,0.001880,"We need to decide if Eq1 implies Eq2 over all magmas. Eq1: x = y * ((x * (x * y)) * y). Eq2: (x * y) * z = (z * y) * x.\n\nWe must follow steps.\n\nFirst, parse equations.\n\nEq1: left side: x. Right "
hard2_0015,False,True,False,True,VERDICT: TRUE,317.50,2578,624,0.000146,"VERDICT: TRUE\nRULE: constant operation\n\nEq1 forces a constant magma because the left and right sides use disjoint variables. In a constant magma, Eq2 holds trivially."
hard2_0016,False,True,False,True,VERDICT: TRUE,403.33,2576,703,0.000155,"VERDICT: TRUE\nRULE: left projection\nEq1 is of the form x = x * T with T not containing x, so it forces left-zero.  \nUnder left-zero, Eq2 reduces to x = x, which holds."
hard2_0017,True,True,True,True,VERDICT: TRUE,458.98,2566,1816,0.000277,"VERDICT: TRUE\nRULE: contradiction motif\n\nThe source equation is bare and matches the contradiction motif C11 (rhsVars = 3, rhsTotals = 113, Lx = FALSE, Rx = FALSE, xTop = right, topShape = v‑m). Th"
hard2_0018,True,True,True,True,VERDICT: TRUE,538.68,2563,1364,0.000227,"VERDICT: TRUE\nRULE: contradiction motif\n\nThe rightmost variable of the product is not x, and the leftmost variable is x, matching motif C8. This pattern guarantees that Eq1 forces Eq2 in all magmas"
hard2_0019,True,True,True,True,VERDICT: TRUE,583.59,2578,1407,0.000232,VERDICT: TRUE\nRULE: contradiction motif
hard2_0020,False,True,False,True,VERDICT: TRUE,977.11,2566,7001,0.000847,"VERDICT: TRUE\nRULE: constant operation\n\nThe identity forces the magma to be constant, and in any constant magma the target identity holds."
hard2_0021,True,False,False,True,false,829.24,2578,16384,0.001880,We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x * y = y * ((z * w) * x)\n\nEq2: (x * x) * y = (z * y) * x\n\nWe need to see if Eq1 logically entails Eq2 in all magmas. Use the rules.\n
hard2_0022,True,True,True,True,VERDICT: TRUE,366.43,2579,1353,0.000226,"VERDICT: TRUE\nRULE: contradiction motif\n\nEq1 has four distinct variables and x is neither the leftmost nor the rightmost variable, matching motif C1. Thus Eq1 forces Eq2 in every magma."
hard2_0023,True,True,True,True,VERDICT: TRUE,518.40,2576,1617,0.000255,"VERDICT: TRUE\nRULE: structural heuristic\n\nThe target equation is larger than the source, and the source is bare with three variables, so the structural heuristic applies."
hard2_0024,True,True,True,True,VERDICT: TRUE,534.31,2574,1065,0.000194,"VERDICT: TRUE\nRULE: contradiction motif\n\nThe source equation is bare and matches motif C6 (three variables, x occurs twice on the right side, top shape v‑m). This forces a left‑projection‑like coll"
hard2_0025,False,False,True,True,FALSE,670.58,2577,16384,0.001880,We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x * y = x * ((z * y) * x)\n\nEq2: x * y = x * (x * (y * y))\n\nWe need to see if Eq1 logically entails Eq2 in all magmas.\n\nWe follow ste
hard2_0026,True,True,True,True,TRUE,1027.29,2579,16384,0.001880,"We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x = (((y * x) * z) * y) * x\n\nEq2: x = ((x * x) * (y * y)) * x\n\nWe need to see if Eq1 implies Eq2. Use the rules.\n\nFirst, step 0: rea"
hard2_0027,False,False,True,True,VERDICT: FALSE,434.06,2580,4035,0.000521,VERDICT: FALSE\nRULE: default false
hard2_0028,True,True,True,True,true,100.59,2577,16384,0.001880,We need to decide if Eq1 implies Eq2 over all magmas.\n\nEq1: x * y = y * ((y * z) * x)\n\nEq2: x * y = ((z * x) * y) * x\n\nWe need to see if Eq1 logically entails Eq2 in all magmas. Use the rules.\n
