problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
saircommunity_0001,False,False,True,True,labeled:FALSE,23.96,3466,1177,0.000956,"REASONING:\nEq1: x = y * (((x * y) * x) * y)\nEq2: x = x * (((y * x) * y) * x)\n\nStep 1: Extract Features\nEq1: bare (x = T), WORD(T) = [y, x, y, x, y], SET(T) = {x, y}, PARITY(T) = {x: even, y: odd}"
saircommunity_0002,True,False,False,True,labeled:FALSE,178.41,3473,858,0.000829,REASONING:\nEq1: x = ((y * ((z * y) * x)) * y) * z\nEq2: x = (y * ((z * x) * z)) * (z * y)\n\nStep 1: Extract Features\nEq1 is bare: x = P where P = ((y * ((z * y) * x)) * y) * z.\nEq2 is bare: x = S 
saircommunity_0003,False,False,True,True,labeled:FALSE,221.63,3467,1171,0.000954,REASONING:\nEq1: x = (x * ((y * x) * y)) * y\nEq2: x = (x * y) * ((x * x) * x)\n\nStep 1: Extract Features\nEq1: Bare source x = P where P = (x * ((y * x) * y)) * y.\nEq2: Bare target x = S where S = 
saircommunity_0004,True,False,False,True,labeled:FALSE,303.09,3472,1202,0.000967,"REASONING:\nEq1: x = (y * ((z * x) * (y * z))) * y\nEq2: x = y * ((z * (x * (z * y))) * z)\n\nStep 1: Extract Features\nEq1: Bare source x = T. T = (y * ((z * x) * (y * z))) * y.\nWORD(T) = [y, z, x, "
saircommunity_0005,False,False,True,True,labeled:FALSE,270.74,3467,761,0.000790,REASONING:\nEq1: x = y * (x * (x * (y * y)))\nEq2: x = (x * y) * (x * (y * y))\n\nStep 1: Extract Features\nEq1 is bare: x = T where T = y * (x * (x * (y * y)))\nEq2 is bare: x = S where S = (x * y) *
saircommunity_0006,True,False,False,True,labeled:FALSE,361.84,3472,1289,0.001002,REASONING:\nEq1: x = y * ((z * (x * (z * y))) * z)\nEq2: x = (y * ((z * y) * (x * z))) * y\n\nStep 1: Extract Features\nEq1 is bare: x = P where P = y * ((z * (x * (z * y))) * z)\nEq2 is bare: x = S w
saircommunity_0007,False,False,True,True,labeled:FALSE,350.07,3466,702,0.000766,"REASONING:\nEq1: x = y * ((y * (y * x)) * x)\nEq2: x = x * ((y * (x * x)) * x)\n\nStep 1: Extract Features\nEq1: x = T where T = y * ((y * (y * x)) * x).\nWORD(T) = [y, y, y, x, x]\nSET(T) = {x, y}\nE"
saircommunity_0008,True,False,False,True,labeled:FALSE,417.02,3472,1274,0.000996,REASONING:\nEq1: x = y * ((z * y) * ((x * y) * z))\nEq2: x = ((y * ((z * y) * x)) * y) * z\n\nStep 1: Extract Features\nEq1: x = P where P = y * ((z * y) * ((x * y) * z))\nEq2: x = S where S = ((y * (
saircommunity_0009,False,False,True,True,labeled:FALSE,432.65,3463,660,0.000749,"REASONING:\nEq1: x = ((x * (x * y)) * y) * y\nEq2: x = x * ((y * y) * x)\n\nStep 1: Extract Features\nEq1: x = ((x * (x * y)) * y) * y\n- Bare: Yes (x = T)\n- WORD(T) = [x, x, y, y, y]\n- SET(T) = {x,"
saircommunity_0010,True,False,False,True,labeled:FALSE,496.35,3472,1010,0.000890,REASONING:\nEq1: x = y * (((y * z) * (x * z)) * y)\nEq2: x = y * (x * ((y * (z * y)) * z))\n\nStep 1: Extract Features\nEq1: x = T where T = y * (((y * z) * (x * z)) * y).\nEq2: x = S where S = y * (x
