problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,True,False,True,labeled:TRUE,226.57,3006,1030,0.000833,"VERDICT: TRUE\nRULE: restrictive bare source\n\nReasoning:\nEquation 1 is bare: x = y * (y * ((x * y) * x)).\nThe product side P is y * (y * ((x * y) * x)).\nFeature vector: rhsVars=2, Lx=FALSE, Rx=TR"
hard1_0002,False,False,True,True,labeled:FALSE,205.86,3007,283,0.000534,"VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\nEq1: x * (y * z) = (z * w) * w. Under left-zero (a*b=a), Eq1 becomes x = z, which is not an identity.\nWait, left-zero witness requires Eq1 to ho"
hard1_0003,True,True,True,True,labeled:TRUE,107.19,3004,353,0.000562,"VERDICT: TRUE\nRULE: restrictive bare source\n\nReasoning:\nEquation 1 is bare: x = ((y * y) * z) * x.\nFeature vector for P = ((y * y) * z) * x: rhsVars=3, Lx=FALSE, Rx=TRUE, xTop=right, topShape=m-v"
hard1_0004,False,False,True,True,labeled:FALSE,261.14,3007,707,0.000704,VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. Test Left-zero magma (a * b = a):\n   Eq1: (x * y) * x = x; (x * z) * w = x. Both sides equal x. Eq1 holds.\n   Eq2: x * (y * y) = x; x * (z *
hard1_0005,False,True,False,True,labeled:TRUE,33.42,3006,142,0.000478,"VERDICT: TRUE\nRULE: restrictive bare source\n\nReasoning:\nEquation 1 is bare: x = ((y * z) * (z * x)) * y.\nProduct side P = ((y * z) * (z * x)) * y.\nrhsVars = 3 (x, y, z), xCount = 1, maxMult = 2 "
hard1_0006,False,False,True,True,labeled:FALSE,74.79,2999,99,0.000459,"VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\nIn a left-zero magma (a * b = a), the equation x * x = (x * y) * z simplifies to x = x, which is always true.\nHowever, the equation x * x = (y *"
hard1_0007,True,True,True,True,labeled:TRUE,177.84,3006,106,0.000463,VERDICT: TRUE\nRULE: restrictive bare source\n\nReasoning:\nEquation 1 is bare: x = (y * (y * (y * z))) * x.\nThe product side P is (y * (y * (y * z))) * x.\nFeature check: maxMult = 3 (variable y app
hard1_0008,False,True,False,True,labeled:TRUE,27.42,3007,216,0.000507,"VERDICT: TRUE\nRULE: restrictive bare source\n\nReasoning:\nEquation 1 is bare: x = x * (y * ((y * z) * y)).\nThe product side P is (y * ((y * z) * y)).\nFeature vector: rhsVars=3 (x,y,z), Lx=TRUE, Rx"
hard1_0009,False,True,False,True,labeled:TRUE,63.78,3007,167,0.000488,"VERDICT: TRUE\nRULE: restrictive bare source\n\nReasoning:\nEquation 1 is bare: x = ((x * x) * (y * z)) * y.\nThe product side P is ((x * x) * (y * z)) * y.\nFeature vector: rhsVars=3 (x,y,z), Lx=FALS"
hard1_0010,False,False,True,True,labeled:FALSE,158.58,3007,471,0.000609,"VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\nUnder left-zero (a * b = a), Eq1 becomes (x * x) * y = x and (y * y) * z = y, so Eq1 is x = y, which is not an identity.\nWait, let's re-evaluate"
hard1_0011,False,True,False,True,labeled:TRUE,298.14,3009,84,0.000455,"VERDICT: TRUE\nRULE: left projection\n\nReasoning:\nEquation 1 is of the form x = x * T, where T = (y * z) * (w * y).\nSince T does not contain x, this forces the left projection identity a * b = a fo"
hard1_0012,False,False,True,True,labeled:FALSE,134.03,3007,333,0.000554,"VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. Test Left-zero magma (a * b = a):\n   Eq1: (x * y) * x = x; (z * w) * u = z. Since x = z is not an identity, Eq1 does not hold for all x, y, z"
hard1_0013,True,True,True,True,labeled:TRUE,151.99,3005,108,0.000464,"VERDICT: TRUE\nRULE: restrictive bare source\n\nReasoning:\nEquation 1 is bare: x = ((z * y) * x) * x.\nFeature vector: rhsVars=3, Lx=FALSE, Rx=TRUE, xTop=right, topShape=m-m, rhsTotals=122, xCount=2,"
hard1_0014,False,True,False,True,labeled:TRUE,249.74,3008,115,0.000467,"VERDICT: TRUE\nRULE: restrictive bare source\n\nReasoning:\nEquation 1 is bare: x = (y * x) * (x * (x * z)).\nFeature vector: rhsVars=3, Lx=FALSE, Rx=FALSE, xTop=both, topShape=m-m, rhsTotals=113, xCo"
hard1_0015,False,False,True,True,labeled:FALSE,160.40,3006,575,0.000651,"VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\nUnder left-zero (a*b = a), Eq1 becomes x = x, which is always true.\nUnder left-zero, Eq2 becomes x = x, which is also true.\nWait, let's check r"
hard1_0016,False,True,False,True,labeled:TRUE,146.11,3009,111,0.000466,"VERDICT: TRUE\nRULE: restrictive bare source\n\nReasoning:\nEquation 1 is bare: x = (x * y) * (x * (y * z)).\nFeature vector: rhsVars=3, Lx=FALSE, Rx=FALSE, xTop=both, topShape=m-m, rhsTotals=221, xCo"
hard1_0017,False,True,False,True,labeled:TRUE,267.91,3007,578,0.000652,"VERDICT: TRUE\nRULE: restrictive bare source\n\nReasoning:\nEquation 1 is bare: x = y * (((x * y) * x) * y).\nThe product side P is y * (((x * y) * x) * y).\nFeature vector: rhsVars=2, Lx=FALSE, Rx=FA"
hard1_0018,True,True,True,True,labeled:TRUE,6.11,3008,186,0.000496,"VERDICT: TRUE\nRULE: restrictive bare source\n\nReasoning:\nEquation 1 is bare: x = ((y * x) * y) * (z * z).\nThe product side P is ((y * x) * y) * (z * z).\nFeature vector: rhsVars=3 (x,y,z), Lx=FALS"
hard1_0019,False,False,True,True,labeled:FALSE,37.46,3005,728,0.000712,"VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\nIn a left-zero magma (a * b = a), any product collapses to its leftmost variable.\nEq1: x * y = (x * (y * x)) * z becomes x = x, which holds.\nEq"
hard1_0020,False,False,True,True,labeled:FALSE,74.59,3007,74,0.000451,"VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\nUnder left-zero (a*b=a), Eq1 becomes x = x, which is always true.\nUnder left-zero, Eq2 becomes x = y, which is not true for all x, y.\nThus, lef"
hard1_0021,False,True,False,True,labeled:TRUE,315.78,3004,562,0.000645,"VERDICT: TRUE\nRULE: restrictive bare source\n\nReasoning:\nEquation 1 is bare: x = y * ((y * x) * (x * y)).\nFeature vector: rhsVars=2, Lx=FALSE, Rx=FALSE, xTop=right, topShape=v-m, rhsTotals=22, xCo"
hard1_0022,False,False,True,True,labeled:FALSE,274.26,3006,275,0.000531,"VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. Test Left-zero magma (a * b = a):\n   Eq1: x * y = x; (y * (y * x)) * x = y.\n   Eq1 becomes x = y, which is not an identity for all x, y.\n  "
hard1_0023,True,True,True,True,labeled:TRUE,116.21,3004,293,0.000538,"VERDICT: TRUE\nRULE: restrictive bare source\n\nReasoning:\nEquation 1 is bare: x = (x * y) * (z * z).\nFeature vector: rhsVars=3, Lx=FALSE, Rx=FALSE, xTop=left, topShape=m-m, rhsTotals=112, xCount=1,"
hard1_0024,False,True,False,True,labeled:TRUE,149.93,3007,106,0.000463,"VERDICT: TRUE\nRULE: restrictive bare source\n\nReasoning: Equation 1 is bare (x = T).\nFeature vector for P = y * (y * ((x * y) * x)): rhsVars=2, Lx=FALSE, Rx=TRUE, xTop=right, topShape=v-m, rhsTotal"
hard1_0025,False,True,False,True,labeled:TRUE,341.65,3007,445,0.000599,"VERDICT: TRUE\nRULE: restrictive bare source\n\nReasoning:\nEquation 1 is bare: x = ((y * (z * z)) * x) * y.\nThe product side P is ((y * (z * z)) * x) * y.\nFeature vector: rhsVars=3 (x,y,z), Lx=FALS"
hard1_0026,False,True,False,True,labeled:TRUE,29.95,3006,137,0.000476,"VERDICT: TRUE\nRULE: restrictive bare source\n\nReasoning:\nEquation 1 is bare: x = ((x * (y * z)) * z) * x.\nThe product side P is ((x * (y * z)) * z) * x.\nFeature vector: rhsVars=3 (x,y,z), Lx=TRUE"
hard1_0027,True,True,True,True,labeled:TRUE,111.49,3004,107,0.000463,"VERDICT: TRUE\nRULE: restrictive bare source\n\nReasoning:\nEquation 1 is bare: x = x * (y * (x * z)).\nFeature vector: rhsVars=3, Lx=TRUE, Rx=FALSE, xTop=left, topShape=m-v, rhsTotals=211, xCount=2, "
