problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard3_0045,False,False,True,True,VERDICT: FALSE,46.12,3052,828,0.000758,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a * b = b):\n   - Equation 1: x = ((y * x) * y) * x.\n     Right-zero reduction: x = x. (Holds)\n   - Equation 2: x 
hard3_0093,False,False,True,True,VERDICT: FALSE,49.27,3055,684,0.000701,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * (y * ((y * x) * y)). Rightmost variable of LHS is x. Rightmost variable of RHS i
hard3_0122,False,False,True,True,VERDICT: FALSE,92.02,3052,916,0.000794,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * ((z * w) * (w * x)).\n     Right-zero reduction: x = x. (Holds)\n   - Equation 2
hard3_0162,True,False,False,True,VERDICT: FALSE,52.42,3055,700,0.000708,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a * b = b):\n   - Equation 1: x = (x * y) * (z * (x * y))\n     LHS = x\n     RHS = (x * y) * (z * (x * y)) → (y) * 
hard3_0173,False,False,True,True,VERDICT: FALSE,69.80,3056,738,0.000723,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = (y * y) * (z * (y * x)).\n     Right-zero reduction: x = x. (Holds)\n   - Equation 2
hard3_0189,False,False,True,True,VERDICT: FALSE,79.93,3057,657,0.000691,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = (y * x) * ((x * x) * x).\n     Right-zero reduction: x = x * (x * x) = x * x = x.\n 
hard3_0293,False,,,False,,60.26,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard3_0320,False,False,True,True,VERDICT: FALSE,55.63,3054,827,0.000758,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a * b = b):\n   - Equation 1: x = ((y * (z * x)) * x) * x.\n     Right-zero reduction: x = x. (Holds)\n   - Equation
hard3_0325,True,True,True,True,VERDICT: TRUE,14.30,3055,209,0.000511,"VERDICT: TRUE\nRULE: contradiction motif\n\nReasoning:\nEquation 1 is bare: x = ((y * (z * w)) * z) * x.\nNormalize: x is on the left, product P = ((y * (z * w)) * z) * x.\nFeatures of P:\nrhsVars=4 ("
hard3_0368,False,False,True,True,VERDICT: FALSE,19.24,3054,286,0.000542,"VERDICT: FALSE\nRULE: word exclusion\n\nReasoning:\nEquation 1 is x * x = (x * y) * (y * z).\nThe WORD of the left side is (x, x).\nThe WORD of the right side is (x, y, y, z).\nSince the WORDs of the "
hard3_0380,True,False,False,True,VERDICT: FALSE,26.53,3054,359,0.000571,"VERDICT: FALSE\nRULE: count exclusion\n\nReasoning:\n1. Equation 1: x * x = (y * (y * x)) * z.\n   - Left side variable counts: {x: 2}\n   - Right side variable counts: {x: 1, y: 2, z: 1}\n   - The va"
