problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
order5_hard_0001,True,False,False,True,labeled:FALSE,2083.26,2951,1230,0.000349,VERDICT: FALSE\nRULE: default false
order5_hard_0002,False,True,False,True,labeled:TRUE,2019.06,2935,601,0.000229,VERDICT: TRUE\nRULE: contradiction motif
order5_hard_0003,True,False,False,True,labeled:FALSE,2125.14,2951,602,0.000229,VERDICT: FALSE\nRULE: default false
order5_hard_0004,False,True,False,True,labeled:TRUE,2131.10,2935,482,0.000206,VERDICT: TRUE\nRULE: contradiction motif
order5_hard_0005,True,False,False,True,labeled:FALSE,2188.63,2951,434,0.000198,VERDICT: FALSE\nRULE: default false
order5_hard_0006,False,False,True,True,labeled:FALSE,2244.75,2935,540,0.000217,"VERDICT: FALSE\nRULE: constant witness\n\nThe equation holds in any magma where the binary operation always yields a fixed constant (e.g., a two‑element magma with a*b = 0 for all a,b). Then the premi"
order5_hard_0007,True,False,False,True,labeled:FALSE,1259.51,2951,560,0.000221,VERDICT: FALSE\nRULE: default false
order5_hard_0008,False,False,True,True,labeled:FALSE,1264.75,2935,1048,0.000314,VERDICT: FALSE\nRULE: default false
order5_hard_0009,True,False,False,True,labeled:FALSE,20.10,2950,526,0.000215,VERDICT: FALSE\nRULE: default false
order5_hard_0010,False,False,True,True,labeled:FALSE,77.49,2936,747,0.000256,VERDICT: FALSE\nRULE: right-zero witness
order5_hard_0011,True,False,False,True,labeled:FALSE,104.64,2950,353,0.000182,VERDICT: FALSE\nRULE: default false
order5_hard_0012,False,False,True,True,labeled:FALSE,221.21,2936,1938,0.000483,VERDICT: FALSE\nRULE: default false
order5_hard_0013,True,False,False,True,labeled:FALSE,223.81,2950,680,0.000244,VERDICT: FALSE\nRULE: default false
order5_hard_0014,False,False,True,True,labeled:FALSE,288.00,2936,943,0.000294,VERDICT: FALSE\nRULE: default false
order5_hard_0015,True,False,False,True,labeled:FALSE,334.35,2950,519,0.000214,VERDICT: FALSE\nRULE: default false
order5_hard_0016,False,False,True,True,labeled:FALSE,366.55,2936,504,0.000210,VERDICT: FALSE\nRULE: right-zero witness
order5_hard_0017,True,False,False,True,labeled:FALSE,438.84,2950,464,0.000203,VERDICT: FALSE\nRULE: default false
order5_hard_0018,False,False,True,True,labeled:FALSE,512.40,2936,1042,0.000312,VERDICT: FALSE\nRULE: default false
order5_hard_0019,True,False,False,True,labeled:FALSE,556.45,2951,751,0.000258,VERDICT: FALSE\nRULE: default false
order5_hard_0020,False,False,True,True,labeled:FALSE,649.90,2936,843,0.000275,VERDICT: FALSE\nRULE: default false
order5_hard_0021,True,False,False,True,labeled:FALSE,685.67,2951,167,0.000147,VERDICT: FALSE\nRULE: default false
order5_hard_0022,False,False,True,True,labeled:FALSE,752.22,2950,408,0.000193,VERDICT: FALSE\nRULE: default false
order5_hard_0023,True,False,False,True,labeled:FALSE,820.58,2950,557,0.000221,VERDICT: FALSE\nRULE: default false
order5_hard_0024,False,False,True,True,labeled:FALSE,907.99,2950,745,0.000257,VERDICT: FALSE\nRULE: default false
order5_hard_0025,True,False,False,True,labeled:FALSE,943.05,2951,342,0.000180,VERDICT: FALSE\nRULE: default false
order5_hard_0026,False,False,True,True,labeled:FALSE,1007.14,2950,305,0.000173,VERDICT: FALSE\nRULE: default false
order5_hard_0027,True,False,False,True,labeled:FALSE,1127.91,2950,1272,0.000357,VERDICT: FALSE\nRULE: default false
order5_hard_0028,False,True,False,True,labeled:TRUE,1096.45,2950,1120,0.000328,VERDICT: TRUE\nRULE: exact renaming
order5_hard_0029,True,True,True,True,labeled:TRUE,1133.97,2951,716,0.000251,VERDICT: TRUE\nRULE: singleton collapse
order5_hard_0030,False,False,True,True,labeled:FALSE,1189.16,2951,345,0.000181,VERDICT: FALSE\nRULE: default false
order5_hard_0031,True,False,False,True,labeled:FALSE,1211.65,2951,1931,0.000482,VERDICT: FALSE\nRULE: default false
order5_hard_0032,False,False,True,True,labeled:FALSE,1239.73,2951,449,0.000200,VERDICT: FALSE\nRULE: default false
order5_hard_0033,True,False,False,True,labeled:FALSE,1263.84,2950,453,0.000201,VERDICT: FALSE\nRULE: default false
order5_hard_0034,False,False,True,True,labeled:FALSE,1308.03,2951,453,0.000201,VERDICT: FALSE\nRULE: default false
order5_hard_0035,True,False,False,True,labeled:FALSE,1336.48,2950,604,0.000230,VERDICT: FALSE\nRULE: default false
order5_hard_0036,False,False,True,True,labeled:FALSE,1379.04,2951,535,0.000217,VERDICT: FALSE\nRULE: default false
order5_hard_0037,True,False,False,True,labeled:FALSE,1421.59,2951,1003,0.000306,VERDICT: FALSE\nRULE: default false
order5_hard_0038,False,False,True,True,labeled:FALSE,1494.51,2951,538,0.000217,VERDICT: FALSE\nRULE: default false
order5_hard_0039,True,False,False,True,labeled:FALSE,1520.24,2950,841,0.000275,VERDICT: FALSE\nRULE: default false
order5_hard_0040,False,False,True,True,labeled:FALSE,1586.18,2951,760,0.000259,VERDICT: FALSE\nRULE: default false
order5_hard_0041,True,False,False,True,labeled:FALSE,1609.02,2950,409,0.000193,VERDICT: FALSE\nRULE: default false
order5_hard_0042,False,False,True,True,labeled:FALSE,1629.23,2950,526,0.000215,VERDICT: FALSE\nRULE: default false\n\nThe implication does not hold in all magmas; a counterexample can be constructed where the first equation is satisfied but the second is not.
order5_hard_0043,True,False,False,True,labeled:FALSE,1666.49,2951,1026,0.000310,"VERDICT: FALSE\nRULE: right-zero witness\n\nIn the right‑zero magma (a * b = b), Eq 1 forces x = z, which can hold (e.g. x = z = 0, y = 1), while Eq 2 then requires x = y, which fails (0 ≠ 1). Hence E"
order5_hard_0044,False,False,True,True,labeled:FALSE,1706.78,2950,812,0.000269,VERDICT: FALSE\nRULE: default false
order5_hard_0045,True,False,False,True,labeled:FALSE,1743.09,2950,454,0.000201,VERDICT: FALSE\nRULE: default false
order5_hard_0046,False,False,True,True,labeled:FALSE,1816.51,2950,614,0.000232,VERDICT: FALSE\nRULE: default false
order5_hard_0047,True,False,False,True,labeled:FALSE,1858.46,2950,721,0.000252,VERDICT: FALSE\nRULE: default false
order5_hard_0048,False,False,True,True,labeled:FALSE,1874.49,2950,634,0.000236,VERDICT: FALSE\nRULE: default false
order5_hard_0049,True,False,False,True,labeled:FALSE,1909.12,2950,432,0.000197,VERDICT: FALSE\nRULE: default false
order5_hard_0050,False,False,True,True,labeled:FALSE,1940.94,2951,954,0.000296,VERDICT: FALSE\nRULE: default false
order5_hard_0051,True,False,False,True,labeled:FALSE,1974.38,2950,447,0.000200,VERDICT: FALSE\nRULE: default false
order5_hard_0052,False,True,False,True,labeled:TRUE,1994.63,2951,579,0.000225,VERDICT: TRUE\nRULE: structural heuristic
order5_hard_0053,True,False,False,True,labeled:FALSE,2037.74,2951,446,0.000200,VERDICT: FALSE\nRULE: default false
order5_hard_0054,False,False,True,True,labeled:FALSE,2092.76,2951,801,0.000267,VERDICT: FALSE\nRULE: right-zero witness\n\nThe right‑zero magma (a * b = b) satisfies the first equation (forcing x = z) but does not satisfy the second (which would require x = w). Hence the implica
order5_hard_0055,True,False,False,True,labeled:FALSE,2154.34,2951,1134,0.000331,VERDICT: FALSE\nRULE: default false
order5_hard_0056,False,False,True,True,labeled:FALSE,2136.38,2951,619,0.000233,VERDICT: FALSE\nRULE: default false
order5_hard_0057,True,False,False,True,labeled:FALSE,2195.59,2950,703,0.000249,VERDICT: FALSE\nRULE: default false
order5_hard_0058,False,False,True,True,labeled:FALSE,2246.03,2951,437,0.000198,VERDICT: FALSE\nRULE: default false
order5_hard_0059,True,False,False,True,labeled:FALSE,13.56,2950,349,0.000181,VERDICT: FALSE\nRULE: default false
order5_hard_0060,False,False,True,True,labeled:FALSE,88.65,2951,922,0.000290,VERDICT: FALSE\nRULE: default false
order5_hard_0061,True,False,False,True,labeled:FALSE,108.01,2951,383,0.000188,VERDICT: FALSE\nRULE: default false
order5_hard_0062,False,True,False,True,labeled:TRUE,169.61,2950,519,0.000214,VERDICT: TRUE\nRULE: contradiction motif
order5_hard_0063,True,False,False,True,labeled:FALSE,227.71,2950,495,0.000209,VERDICT: FALSE\nRULE: default false
order5_hard_0064,False,True,False,True,labeled:TRUE,274.62,2950,564,0.000222,VERDICT: TRUE\nRULE: contradiction motif
order5_hard_0065,True,False,False,True,labeled:FALSE,342.64,2950,660,0.000240,VERDICT: FALSE\nRULE: default false
order5_hard_0066,False,False,True,True,labeled:FALSE,428.33,2950,1678,0.000434,VERDICT: FALSE\nRULE: default false
order5_hard_0067,True,False,False,True,labeled:FALSE,456.95,2950,774,0.000262,VERDICT: FALSE\nRULE: default false
order5_hard_0068,False,False,True,True,labeled:FALSE,486.92,2950,317,0.000175,VERDICT: FALSE\nRULE: default false
order5_hard_0069,True,False,False,True,labeled:FALSE,543.98,2950,326,0.000177,VERDICT: FALSE\nRULE: default false
order5_hard_0070,False,False,True,True,labeled:FALSE,648.73,2951,753,0.000258,VERDICT: FALSE\nRULE: default false
order5_hard_0071,True,False,False,True,labeled:FALSE,708.21,2950,471,0.000205,VERDICT: FALSE\nRULE: default false
order5_hard_0072,False,False,True,True,labeled:FALSE,774.73,2951,506,0.000211,VERDICT: FALSE\nRULE: default false
order5_hard_0073,True,False,False,True,labeled:FALSE,810.56,2950,259,0.000164,VERDICT: FALSE\nRULE: default false
order5_hard_0074,False,False,True,True,labeled:FALSE,909.89,2951,840,0.000275,VERDICT: FALSE\nRULE: default false
order5_hard_0075,True,False,False,True,labeled:FALSE,949.28,2950,365,0.000184,VERDICT: FALSE\nRULE: default false
order5_hard_0076,False,False,True,True,labeled:FALSE,1023.29,2951,484,0.000207,VERDICT: FALSE\nRULE: default false
order5_hard_0077,True,False,False,True,labeled:FALSE,1085.46,2951,461,0.000203,VERDICT: FALSE\nRULE: default false
order5_hard_0078,False,False,True,True,labeled:FALSE,1100.92,2951,226,0.000158,VERDICT: FALSE\nRULE: default false
order5_hard_0079,True,False,False,True,labeled:FALSE,1153.14,2951,494,0.000209,VERDICT: FALSE\nRULE: default false
order5_hard_0080,False,False,True,True,labeled:FALSE,1175.73,2951,303,0.000173,VERDICT: FALSE\nRULE: default false
order5_hard_0081,True,False,False,True,labeled:FALSE,1209.26,2951,686,0.000245,VERDICT: FALSE\nRULE: default false
order5_hard_0082,False,False,True,True,labeled:FALSE,1241.16,2950,471,0.000205,VERDICT: FALSE\nRULE: default false
order5_hard_0083,True,False,False,True,labeled:FALSE,1307.48,2951,1046,0.000314,VERDICT: FALSE\nRULE: default false
order5_hard_0084,False,False,True,True,labeled:FALSE,1300.14,2950,823,0.000271,VERDICT: FALSE\nRULE: default false
order5_hard_0085,True,False,False,True,labeled:FALSE,1369.10,2950,655,0.000239,VERDICT: FALSE\nRULE: default false
order5_hard_0086,False,False,True,True,labeled:FALSE,1403.40,2950,510,0.000212,VERDICT: FALSE\nRULE: default false
order5_hard_0087,True,False,False,True,labeled:FALSE,1447.72,2951,579,0.000225,VERDICT: FALSE\nRULE: default false
order5_hard_0088,False,True,False,True,labeled:TRUE,1480.23,2950,1030,0.000311,VERDICT: TRUE\nRULE: structural heuristic
order5_hard_0089,True,False,False,True,labeled:FALSE,1555.43,2951,800,0.000267,VERDICT: FALSE\nRULE: default false
order5_hard_0090,False,False,True,True,labeled:FALSE,1575.36,2951,472,0.000205,VERDICT: FALSE\nRULE: default false
order5_hard_0091,True,False,False,True,labeled:FALSE,1596.63,2951,1105,0.000325,VERDICT: FALSE\nRULE: default false
order5_hard_0092,False,False,True,True,labeled:FALSE,1645.53,2951,341,0.000180,VERDICT: FALSE\nRULE: default false
order5_hard_0093,True,False,False,True,labeled:FALSE,1673.17,2950,647,0.000238,VERDICT: FALSE\nRULE: default false\n\nThe implication does not hold in all magmas. A counterexample can be constructed where Equation 1 is satisfied but Equation 2 fails.
order5_hard_0094,False,False,True,True,labeled:FALSE,1715.45,2951,250,0.000163,VERDICT: FALSE\nRULE: default false
order5_hard_0095,True,False,False,True,labeled:FALSE,1748.44,2950,593,0.000228,VERDICT: FALSE\nRULE: default false
order5_hard_0096,False,False,True,True,labeled:FALSE,1834.25,2951,933,0.000292,VERDICT: FALSE\nRULE: default false
order5_hard_0097,True,False,False,True,labeled:FALSE,1832.06,2950,440,0.000199,VERDICT: FALSE\nRULE: default false
order5_hard_0098,False,False,True,True,labeled:FALSE,1895.51,2951,455,0.000202,VERDICT: FALSE\nRULE: default false
order5_hard_0099,True,False,False,True,labeled:FALSE,1914.17,2950,568,0.000223,VERDICT: FALSE\nRULE: default false
order5_hard_0100,False,False,True,True,labeled:FALSE,1938.32,2951,547,0.000219,VERDICT: FALSE\nRULE: default false
order5_hard_0101,True,False,False,True,labeled:FALSE,1960.59,2950,341,0.000180,VERDICT: FALSE\nRULE: default false
order5_hard_0102,False,False,True,True,labeled:FALSE,1999.61,2950,676,0.000243,VERDICT: FALSE\nRULE: default false
order5_hard_0103,True,False,False,True,labeled:FALSE,2021.19,2950,635,0.000236,VERDICT: FALSE\nRULE: default false
order5_hard_0104,False,False,True,True,labeled:FALSE,2089.18,2950,614,0.000232,VERDICT: FALSE\nRULE: default false
order5_hard_0105,True,False,False,True,labeled:FALSE,2105.05,2950,314,0.000175,VERDICT: FALSE\nRULE: default false
order5_hard_0106,False,False,True,True,labeled:FALSE,2139.90,2950,619,0.000233,VERDICT: FALSE\nRULE: default false
order5_hard_0107,True,False,False,True,labeled:FALSE,2222.70,2950,547,0.000219,VERDICT: FALSE\nRULE: default false
order5_hard_0108,False,False,True,True,labeled:FALSE,2230.01,2950,568,0.000223,VERDICT: FALSE\nRULE: default false
order5_hard_0109,True,False,False,True,labeled:FALSE,38.12,2950,862,0.000279,VERDICT: FALSE\nRULE: default false
order5_hard_0110,False,False,True,True,labeled:FALSE,64.72,2951,323,0.000176,VERDICT: FALSE\nRULE: default false
order5_hard_0111,True,False,False,True,labeled:FALSE,117.22,2951,560,0.000221,VERDICT: FALSE\nRULE: default false
order5_hard_0112,False,False,True,True,labeled:FALSE,189.04,2951,940,0.000294,VERDICT: FALSE\nRULE: default false
order5_hard_0113,True,False,False,True,labeled:FALSE,221.59,2950,269,0.000166,VERDICT: FALSE\nRULE: default false
order5_hard_0114,False,False,True,True,labeled:FALSE,283.18,2951,478,0.000206,VERDICT: FALSE\nRULE: default false
