problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
order5_hard_0001,True,False,False,True,labeled:FALSE,3233.55,3530,1297,0.001013,REASONING:\nStep 1: Extract Features\nEq1: x = ((y * ((z * y) * x)) * y) * z\nEq2: x = (y * ((z * x) * z)) * (z * y)\n\nStep 2: True Routes\n- 2.1 Exact identity: No.\n- 2.2 Tautological target: No.\n
order5_hard_0002,False,False,True,True,labeled:FALSE,3274.85,3514,945,0.000870,"REASONING:\nEq1: x = y * (x * (x * (y * (z * z))))\nEq2: x = y\n\nStep 1: Extract Features\nEq1 is bare: x = T where T = y * (x * (x * (y * (z * z))))\nWORD(T) = [y, x, x, y, z, z]\nSET(T) = {x, y, z}"
order5_hard_0003,True,True,True,True,labeled:TRUE,3429.72,3530,523,0.000703,"REASONING:\nEq1: x = (y * ((z * x) * z)) * (z * y)\nEq2: x = y * ((z * (x * y)) * (y * z))\n\nStep 1: Extract Features\nEq1: LHS = x, RHS = (y * ((z * x) * z)) * (z * y)\nEq2: LHS = x, RHS = y * ((z *"
order5_hard_0004,False,False,True,True,labeled:FALSE,3444.36,3515,741,0.000789,"REASONING: Eq1 is bare and can be renamed x = P where P = ((((y * y) * z) * x) * x) * z.\nFeatures of P:\n- rv = 3 (variables are x, y, z)\n- Lx = FALSE (leftmost is y)\n- Rx = FALSE (rightmost is z)\"
order5_hard_0005,True,False,False,True,labeled:FALSE,1551.22,3530,1250,0.000994,REASONING:\nEq1: x = y * ((z * (x * y)) * (y * z))\nEq2: x = (y * z) * (((z * x) * z) * y)\n\nStep 1: Extract Features\nEq1: x = T where T = y * ((z * (x * y)) * (y * z))\nEq2: x = S where S = (y * z)
order5_hard_0006,False,False,True,True,labeled:FALSE,1695.30,3514,1217,0.000979,REASONING:\nEq1: x = y * (((x * (z * z)) * y) * y)\nEq2: x = y\n\nStep 1: Extract Features\nEq1: x = T where T = y * (((x * (z * z)) * y) * y)\nEq2: x = y\n\nStep 2: True Routes\n2.1 Exact renaming: N
order5_hard_0007,True,True,True,True,labeled:TRUE,1723.62,3530,588,0.000729,"REASONING:\nEq1: x = (y * z) * (((z * x) * z) * y)\nEq2: x = (y * ((z * x) * (y * z))) * y\n\nStep 1: Extract Features\nEq1: LHS = x, RHS = (y * z) * (((z * x) * z) * y)\nWORD(Eq1_RHS) = [y, z, z, x, "
order5_hard_0008,False,False,True,True,labeled:FALSE,1767.65,3514,1169,0.000960,"REASONING:\nEq1: x = (y * (y * ((z * z) * x))) * y\nEq2: x = y\n\nStep 1: Extract Features\nEq1 is bare: x = T, where T = (y * (y * ((z * z) * x))) * y.\nWORD(T) = [y, y, z, z, x, y]\nSET(T) = {x, y, "
order5_hard_0009,True,False,False,True,labeled:FALSE,1787.69,3529,1113,0.000939,"REASONING:\nEq1: x = (y * ((z * x) * (y * z))) * y\nEq2: x = y * ((z * (x * (z * y))) * z)\n\nStep 1: Extract Features\nEq1: x = T where T = (y * ((z * x) * (y * z))) * y.\nWORD(T) = [y, z, x, y, z, y"
order5_hard_0010,False,False,True,True,labeled:FALSE,1879.01,3515,1076,0.000922,"REASONING:\nEq1: x = (y * z) * (x * (z * (z * z)))\nEq2: x = y\n\nStep 1: Extract Features\nEq1 is bare: x = T, where T = (y * z) * (x * (z * (z * z)))\nWORD(T) = [y, z, x, z, z, z]\nSET(T) = {x, y, z"
order5_hard_0011,True,False,False,True,labeled:FALSE,1985.06,3529,1107,0.000937,REASONING:\nStep 1: Extract Features\nEq1: x = y * ((z * (x * (z * y))) * z)\nEq2: x = (y * ((z * y) * (x * z))) * y\n\nStep 2: True Routes\n2.1 Exact identity: No.\n2.2 Tautological target: No.\n2.3 
order5_hard_0012,False,False,True,True,labeled:FALSE,2036.08,3515,1119,0.000940,REASONING: Eq1 is x = (((y * y) * y) * x) * (y * z). This is a bare equation of the form x = T.\nWe check for the Left Projection rule (2.6):\nEq1 can be renamed to x = x * T' where T' = (y * z) is no
order5_hard_0013,True,False,False,True,labeled:FALSE,2127.88,3529,1513,0.001099,"REASONING:\nEq1: x = (y * ((z * y) * (x * z))) * y\nEq2: x = y * ((z * y) * ((x * y) * z))\n\nStep 1: Extract Features\nEq1: LHS = x, RHS = (y * ((z * y) * (x * z))) * y.\nWORD(Eq1_RHS) = [y, z, y, x,"
