problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,False,True,True,labeled:FALSE,285.95,3298,873,0.000811,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * (y * ((x * y) * x))\nEq2: x * y = ((z * x) * w) * y\n\nEq1 is bare (left side is single variable x).\nP = y * (y * ((x * y) * x))\nrhsVars = 2 ({x, y"
hard1_0002,False,False,True,True,labeled:FALSE,267.84,3299,812,0.000787,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x * (y * z) = (z * w) * w\nEq2: x * (y * x) = (x * y) * z\n\nEq1:\nLHS: x * (y * z), WORD = [x, y, z], SET = {x, y, z}, AB = {x:1, y:1, z:1}\nRHS: (z * w) * "
hard1_0003,True,True,True,True,labeled:TRUE,488.14,3296,391,0.000618,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = ((y * y) * z) * x\nEq2: x = x * (((y * x) * x) * x)\n\nSTEP 2. TRUE ROUTES\n2.1 Exact renaming: No.\n2.2 Tautological target: No.\n2.3 Singleton collapse
hard1_0004,False,False,True,True,labeled:FALSE,93.31,3299,601,0.000702,"REASONING:\nSTEP 1: Eq1 is (x * y) * x = (x * z) * w. Eq2 is x * (y * y) = x * (z * y).\nSTEP 2:\n- 2.1-2.4: No exact identity, tautology, singleton collapse, or constant operation.\n- 2.5-2.8: Eq1 is"
hard1_0005,False,False,True,True,labeled:FALSE,72.93,3298,779,0.000773,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = ((y * z) * (z * x)) * y\nEq2: x * x = (y * (y * y)) * y\nEq1 is bare (left side is single variable x).\n\nSTEP 2. TRUE ROUTES\n2.1-2.4: No exact identity
hard1_0006,False,False,True,True,labeled:FALSE,166.20,3291,301,0.000581,"REASONING: Eq1 is x * x = (x * y) * z. Eq2 is x * x = (y * z) * w.\nSTEP 1: Eq1 is not bare.\nSTEP 2:\n- 2.1 Exact renaming: Eq2 is not a renaming of Eq1 (Eq1 has x,y,z; Eq2 has x,y,z,w).\n- 2.2 Tauto"
hard1_0007,True,True,True,True,labeled:TRUE,369.14,3298,442,0.000639,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = (y * (y * (y * z))) * x\nEq2: x * y = z * (w * (w * y))\n\nEq1 is bare (left side is single variable x).\nP = (y * (y * (y * z))) * x\nrhsVars = 3 ({x, y"
hard1_0008,False,True,False,True,labeled:TRUE,497.99,3299,374,0.000611,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = x * (y * ((y * z) * y))\nEq2: x = x * ((x * (x * x)) * x)\n\nSTEP 2. TRUE ROUTES\n2.1 Exact renaming: No.\n2.2 Tautological target: No.\n2.3 Singleton co
hard1_0009,False,False,True,True,labeled:FALSE,253.21,3299,1080,0.000894,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = ((x * x) * (y * z)) * y\nEq2: x = ((x * (y * x)) * x) * y\n\nEq1 is bare (left side is single variable x).\nP = ((x * x) * (y * z)) * y\nrhsVars = 3 ({x,"
hard1_0010,False,False,True,True,labeled:FALSE,474.75,3299,844,0.000799,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: (x * x) * y = (y * y) * z\nEq2: x * (y * y) = x * (z * z)\n\nEq1:\nLHS: (x * x) * y. WORD: [x, x, y]. SET: {x, y}. AB: {x:2, y:1}.\nRHS: (y * y) * z. WORD: ["
hard1_0011,False,False,True,True,labeled:FALSE,589.75,3301,777,0.000773,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = (x * (y * z)) * (w * y)\nEq2: x = (y * (z * w)) * (u * z)\n\nEq1 is bare (left side is single variable x).\nP = (x * (y * z)) * (w * y)\nrhsVars = 4 ({x,"
