problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard3_0001,True,True,True,True,labeled:TRUE,977.41,3216,504,0.000221,"REASONING: Eq1 is a bare equation of the form x = T * x with T = y, and T does not contain x. By rule 2.7 (right projection) this forces the law a * b = b for all elements of any magma. Under this law"
hard3_0002,True,False,False,True,labeled:FALSE,1027.86,3220,1269,0.000367,REASONING: default false fallback\nVERDICT: FALSE
hard3_0003,True,False,False,True,labeled:FALSE,1068.15,3220,1894,0.000485,REASONING: default false fallback\nVERDICT: FALSE
hard3_0004,True,True,True,True,labeled:TRUE,1068.89,3220,266,0.000176,"REASONING: In Eq1 the variable x appears only on the left side and does not occur in the term y * (z * w) on the right. By rule 2.3 (singleton / collapse source), this forces the magma to be a singlet"
hard3_0005,True,True,True,True,labeled:TRUE,1092.35,3219,601,0.000240,REASONING: The premise of rule 2.7 (right projection) is satisfied because Eq1 can be renamed to the form x = T * x with T = (y*z) which does not contain x. This forces the identity a * b = b for all 
hard3_0006,True,True,True,True,labeled:TRUE,1142.73,3218,1283,0.000369,"REASONING: Eq1 states that for all elements a,b in any magma, a*a = a*b. Hence for each fixed a, the product a*· is a constant function equal to a*a. Consequently, for any elements a,b,c we have:\n- a"
hard3_0007,False,True,False,True,labeled:TRUE,1161.66,3218,715,0.000261,"REASONING: Eq1 can be rewritten as x*y = x*x (swap sides). Here the variable y does not appear in the right‑hand side term x*x, so Eq1 matches the “missing‑variable absorption” pattern with y absent. "
hard3_0008,True,True,True,True,labeled:TRUE,1208.30,3218,693,0.000257,"REASONING: The source equation `x * x = y * z` can be renamed to the form `a * b = T` where `a` and `b` are variables (here both `x`) and `T` is a product (`y * z`) that shares no variables with `{a,b"
hard3_0009,False,False,True,True,labeled:FALSE,1258.96,3223,1319,0.000376,REASONING: default false fallback\nVERDICT: FALSE
hard3_0010,False,False,True,True,labeled:FALSE,1308.30,3222,1562,0.000422,REASONING: default false fallback\nVERDICT: FALSE
hard3_0011,False,False,True,True,labeled:FALSE,1389.76,3223,1840,0.000475,REASONING: default false fallback\nVERDICT: FALSE
hard3_0012,False,False,True,True,labeled:FALSE,1418.90,3223,1429,0.000397,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0013,False,False,True,True,labeled:FALSE,1469.38,3223,1376,0.000387,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0014,True,True,True,True,labeled:TRUE,1494.38,3223,509,0.000222,"REASONING: The source equation is bare (single variable on the left). It can be rewritten as x = x * T with T = (y * (z * y)), which does not contain x. By rule 2.6 (left projection), this forces the "
hard3_0015,True,False,False,True,labeled:FALSE,1585.27,3222,1698,0.000448,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0016,False,False,True,True,labeled:FALSE,1606.98,3223,934,0.000303,REASONING: rightmost-variable exclusion\nVERDICT: FALSE\nPROOF:
hard3_0017,False,False,True,True,labeled:FALSE,35.59,3220,1692,0.000447,REASONING: default false fallback\nVERDICT: FALSE
hard3_0018,False,False,True,True,labeled:FALSE,27.77,3223,521,0.000225,REASONING: spine isolation\nVERDICT: FALSE\nPROOF:
hard3_0019,False,False,True,True,labeled:FALSE,75.04,3223,1026,0.000321,VERDICT: FALSE\nREASONING: spine isolation
hard3_0020,True,False,False,True,labeled:FALSE,124.32,3224,1126,0.000340,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0021,False,True,False,True,labeled:TRUE,179.04,3223,2289,0.000561,"REASONING: No TRUE route fired in steps 2‑2.8, and no FALSE route fired in steps 3‑4. The only way Eq1 can hold in all magmas is when the operation satisfies a left‑projection law (a * b = a) for ever"
hard3_0022,False,False,True,True,labeled:FALSE,202.11,3222,1308,0.000374,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0023,True,False,False,True,labeled:FALSE,246.35,3217,2131,0.000530,REASONING: default false fallback\nVERDICT: FALSE
hard3_0024,True,True,True,True,labeled:TRUE,251.96,3223,576,0.000235,REASONING: The premise x = x * ((y * z) * z) is a bare equation of the form x = x * T where T does not contain x. By rule 2.6 (left projection) this forces the law a * b = a for all elements of any ma
hard3_0025,False,False,True,True,labeled:FALSE,298.14,3224,2281,0.000559,REASONING: default false fallback\nVERDICT: FALSE
hard3_0026,False,False,True,True,labeled:FALSE,302.45,3224,1584,0.000427,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0027,True,False,False,True,labeled:FALSE,341.97,3221,1190,0.000352,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0028,True,False,False,True,labeled:FALSE,371.65,3224,1715,0.000452,REASONING: default false fallback\nVERDICT: FALSE
hard3_0029,False,False,True,True,labeled:FALSE,397.54,3222,1714,0.000451,REASONING: default false fallback\nVERDICT: FALSE
hard3_0030,True,False,False,True,labeled:FALSE,433.00,3223,2376,0.000577,REASONING: default false fallback\nVERDICT: FALSE
hard3_0031,False,False,True,True,labeled:FALSE,460.46,3223,2035,0.000512,REASONING: default false fallback\nVERDICT: FALSE
hard3_0032,False,False,True,True,labeled:FALSE,485.02,3223,1937,0.000494,REASONING: default false fallback\nVERDICT: FALSE
hard3_0033,True,True,True,True,labeled:TRUE,517.93,3223,2106,0.000526,REASONING: The identity x = (y * x) * (z * x) forces the operation to be a right projection (a * b = b) or a singleton magma. In both cases the target identity x * x = ((y * x) * x) * x holds. Hence t
hard3_0034,True,False,False,True,labeled:FALSE,543.66,3224,1700,0.000449,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0035,False,False,True,True,labeled:FALSE,576.15,3224,2262,0.000556,REASONING: default false fallback\nVERDICT: FALSE
hard3_0036,True,True,True,True,labeled:TRUE,607.06,3224,1842,0.000476,"REASONING: The equation \(x = (x * (x * x)) * y\) forces every element to be a left‑zero element: for any \(x,y\) we have \((x*(x*x))*y = x\). Setting \(a = x*(x*x)\) gives \(a*y = a\) for all \(y\), "
