problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,False,True,True,labeled:FALSE,852.60,3054,615,0.000674,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * (y * ((x * y) * x)).\n     Right-zero reduction: x = x. (Holds)\n   - Equation 2
hard1_0002,False,False,True,True,labeled:FALSE,168.58,3055,556,0.000650,VERDICT: FALSE\nRULE: leftmost exclusion\n\nReasoning:\n1. Equation 1: x * (y * z) = (z * w) * w.\n2. Leftmost variable of LHS of Eq1 is x. Leftmost variable of RHS of Eq1 is z.\n3. Since the leftmost
hard1_0003,True,True,True,True,labeled:TRUE,549.99,3052,627,0.000678,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = ((y * y) * z) * x.\n     Right-zero reduction: Left side = x; Right side = x. (x = x
hard1_0004,False,False,True,True,labeled:FALSE,679.09,3055,473,0.000617,VERDICT: FALSE\nRULE: leftmost exclusion\n\nReasoning:\n1. Equation 1: (x * y) * x = (x * z) * w.\n2. Leftmost variable of LHS of Eq1 is x. Leftmost variable of RHS of Eq1 is x.\n3. Equation 2: x * (y
hard1_0005,False,False,True,True,labeled:FALSE,254.75,3054,1083,0.000861,VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. Test Left-zero witness (a*b = a):\n   - Equation 1: x = ((y * z) * (z * x)) * y\n     Left side: x\n     Right side: ((y * z) * (z * x)) * y →
hard1_0006,False,False,True,True,labeled:FALSE,427.39,3047,392,0.000583,"VERDICT: FALSE\nRULE: count exclusion\n\nReasoning:\n1. Equation 1: x * x = (x * y) * z.\n2. Check variable counts (AB) for Equation 1:\n   Left side: {x: 2}\n   Right side: {x: 1, y: 1, z: 1}\n   The"
hard1_0007,True,False,False,True,labeled:FALSE,634.35,3054,751,0.000728,VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. Test Equation 1 (x = (y * (y * (y * z))) * x) under left-zero (a*b = a):\n   LHS = x\n   RHS = (y * (y * (y * z))) * x = y\n   x = y is not tr
hard1_0008,False,True,False,True,labeled:TRUE,20.39,3055,181,0.000500,VERDICT: TRUE\nRULE: left projection\n\nReasoning:\n1. Equation 1 is $x = x * (y * ((y * z) * y))$. This is of the form $x = x * T$ where $T = (y * ((y * z) * y))$.\n2. The term $T$ does not contain t
hard1_0009,False,False,True,True,labeled:FALSE,255.71,3055,451,0.000608,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = ((x * x) * (y * z)) * y.\n     Right-zero reduction: x = y.\n     This does not hold
hard1_0010,False,False,True,True,labeled:FALSE,627.43,3055,427,0.000599,"VERDICT: FALSE\nRULE: word exclusion\n\nReasoning:\n1. Equation 1: (x * x) * y = (y * y) * z.\n   WORD(left) = [x, x, y], WORD(right) = [y, y, z].\n   The words are different, so WORD exclusion (3.1) "
hard1_0011,False,False,True,True,labeled:FALSE,17.41,3057,164,0.000494,VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. Test Equation 1 under left-zero (a*b = a):\n   LHS: x\n   RHS: (x * (y * z)) * (w * y) -> x * (w * y) -> x\n   x = x holds.\n2. Test Equation 
hard1_0012,False,True,False,True,labeled:TRUE,349.82,3055,776,0.000738,VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. Test Equation 1: (x * y) * x = (z * w) * u under left-zero (a * b = a).\n   LHS: (x * y) * x -> x * x -> x.\n   RHS: (z * w) * u -> z * u -> z
hard1_0013,True,False,False,True,labeled:FALSE,719.80,3053,574,0.000657,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a * b = b):\n   - Equation 1: x * y = ((z * y) * x) * x\n     LHS: x * y → y\n     RHS: ((z * y) * x) * x → (y * x) 
hard1_0014,False,False,True,True,labeled:FALSE,867.77,3056,479,0.000619,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = (y * x) * (x * (x * z)).\n     Right-zero reduction: x = (x) * (z) = z.\n     This d
hard1_0015,False,False,True,True,labeled:FALSE,286.41,3054,491,0.000624,"VERDICT: FALSE\nRULE: word exclusion\n\nReasoning:\nEquation 1: x * x = x * (y * (z * y)).\nWORD(left) = [x, x], WORD(right) = [x, y, z, y].\nThe words are different, so WORD exclusion (3.1) does not "
hard1_0016,False,False,True,True,labeled:FALSE,528.34,3057,493,0.000625,"VERDICT: FALSE\nRULE: word exclusion\n\nReasoning:\n1. Equation 1: x = (x * y) * (x * (y * z)).\n   Left side WORD: [x]\n   Right side WORD: [x, y, x, y, z]\n   The WORDs are different.\n2. Equation 2"
hard1_0017,False,False,True,True,labeled:FALSE,697.16,3055,518,0.000635,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * (((x * y) * x) * y).\n     Right-zero reduction: x = y. This does not hold for a
hard1_0018,True,False,False,True,labeled:FALSE,176.02,3056,433,0.000601,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = ((y * x) * y) * (z * z).\n     Right-zero reduction: x = (y * x * y) * z * z -> x = 
hard1_0019,False,False,True,True,labeled:FALSE,872.29,3053,577,0.000658,"VERDICT: FALSE\nRULE: leftmost exclusion\n\nReasoning:\n1. Equation 1: x * y = (x * (y * x)) * z. The leftmost variable on the left side is x, and the leftmost variable on the right side is x.\n2. Equ"
hard1_0020,False,False,True,True,labeled:FALSE,16.63,3055,139,0.000483,VERDICT: FALSE\nRULE: leftmost exclusion\n\nReasoning:\n1. Equation 1: x * (y * z) = (x * x) * z.\n2. Leftmost variable of LHS of Eq1 is x; leftmost variable of RHS of Eq1 is x.\n3. Equation 2: x * (y
hard1_0021,False,False,True,True,labeled:FALSE,407.78,3052,721,0.000716,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * ((y * x) * (x * y)).\n     Right-zero reduction: x = (y * x) * (x * y) -> (x * y
hard1_0022,False,False,True,True,labeled:FALSE,593.35,3054,380,0.000580,"VERDICT: FALSE\nRULE: parity exclusion\n\nReasoning:\n1. Equation 1: x * y = (y * (y * x)) * x.\n   - Left side parity: {x: 1, y: 1}\n   - Right side parity: {x: 2, y: 2}\n   - Parity is different.\n2"
hard1_0023,True,False,False,True,labeled:FALSE,494.96,3052,1028,0.000838,VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. Test Equation 1 (x = (x * y) * (z * z)) under left-zero (a * b = a):\n   LHS = x\n   RHS = (x * y) * (z * z) → x * (z * z) → x\n   x = x holds
hard1_0024,False,False,True,True,labeled:FALSE,232.41,3055,613,0.000673,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * (y * ((x * y) * x)).\n     Right-zero reduction: x = x. (Holds)\n   - Equation 2
hard1_0025,False,False,True,True,labeled:FALSE,564.13,3055,547,0.000647,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = ((y * (z * z)) * x) * y.\n     Right-zero reduction: x = y.\n     This does not hold
hard1_0026,False,False,True,True,labeled:FALSE,887.34,3054,671,0.000696,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = ((x * (y * z)) * z) * x.\n     Right-zero reduction: x = x. (Holds)\n   - Equation 2
hard1_0027,True,False,False,True,labeled:FALSE,244.82,3052,835,0.000761,"VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = x * (y * (x * z)). Right-zero reduces this to x = z. This does not hold for all x, z"
hard1_0028,False,False,True,True,labeled:FALSE,521.89,3054,462,0.000612,"VERDICT: FALSE\nRULE: count exclusion\n\nReasoning:\n1. Equation 1: x * y = z * ((x * x) * y).\n   - Left side variable counts: {x: 1, y: 1, z: 0}\n   - Right side variable counts: {x: 2, y: 1, z: 1}\"
hard1_0029,False,False,True,True,labeled:FALSE,658.20,3055,844,0.000765,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a * b = b):\n   - Equation 1: x = (y * y) * ((z * x) * x).\n     Right-zero reduction: x = x. (Holds)\n   - Equation
hard1_0030,False,False,True,True,labeled:FALSE,32.36,3055,331,0.000560,"VERDICT: FALSE\nRULE: set exclusion\n\nReasoning:\n1. Equation 1: x = (y * (x * (y * x))) * y. The set of variables on the left is {x}, and on the right is {x, y}.\n2. Equation 2: x * (x * y) = z * (y"
hard1_0031,False,False,True,True,labeled:FALSE,504.09,3056,582,0.000661,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = ((y * x) * x) * (x * z).\n     Right-zero reduction: x = z.\n     This does not hold
hard1_0032,False,False,True,True,labeled:FALSE,827.86,3052,644,0.000685,VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. Test Left-zero magma (a * b = a):\n   Eq1: x = ((y * x) * x) * (x * z)\n   LHS = x\n   RHS = ((y * x) * x) * (x * z) = (y * x) * (x * z) = y *
hard1_0033,False,True,False,True,labeled:TRUE,183.43,3055,837,0.000763,"VERDICT: FALSE\nRULE: count exclusion\n\nReasoning:\n1. Equation 1: x = ((y * (z * y)) * y) * x.\n   Left side WORD: [x], Right side WORD: [y, z, y, y, x].\n   The variable counts (AB) are different: "
hard1_0034,True,False,False,True,labeled:FALSE,335.24,3050,373,0.000576,VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. Test Equation 1 (x * y = (y * x) * z) under left-zero (a * b = a):\n   LHS: x * y = x\n   RHS: (y * x) * z = y * z = y\n   Since x = y is not 
hard1_0035,True,True,True,True,labeled:TRUE,613.27,3055,176,0.000498,"VERDICT: TRUE\nRULE: left projection\n\nReasoning:\n1. Equation 1 is $x = x * ((y * z) * (w * u))$. This is a bare equation of the form $x = x * T$, where $T = ((y * z) * (w * u))$.\n2. The term $T$ d"
hard1_0036,False,False,True,True,labeled:FALSE,141.52,3053,493,0.000625,"VERDICT: FALSE\nRULE: count exclusion\n\nReasoning:\n1. Equation 1: x * x = y * (z * (x * z)).\n   - Left side AB: {x: 2}\n   - Right side AB: {x: 1, y: 1, z: 2}\n   - The variable counts (AB) are dif"
hard1_0037,False,False,True,True,labeled:FALSE,431.63,3055,746,0.000726,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * (((y * z) * y) * x). Rightmost variable of LHS is x. Rightmost variable of RHS i
hard1_0038,False,False,True,True,labeled:FALSE,590.73,3053,875,0.000777,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a * b = b):\n   - Equation 1: x * y = (x * (x * y)) * z\n     LHS: x * y → y\n     RHS: (x * (x * y)) * z → z\n     
hard1_0039,False,True,False,True,labeled:TRUE,578.17,3055,272,0.000537,"VERDICT: TRUE\nRULE: left projection\n\nReasoning:\n1. Equation 1 is $x = x * ((x * y) * (z * z))$. This is of the form $x = x * T$ where $T = ((x * y) * (z * z))$.\n2. However, $T$ contains $x$, so R"
hard1_0040,True,True,True,True,labeled:TRUE,467.24,3054,1073,0.000857,VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. Test Equation 1 (x = x * ((y * (z * w)) * w)) under left-zero (a*b = a):\n   LHS = x\n   RHS = x * ((y * (z * w)) * w) → x\n   x = x holds.\n2
hard1_0041,True,False,False,True,labeled:FALSE,730.97,3054,700,0.000708,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a * b = b):\n   - Equation 1: x = (((y * x) * y) * z) * x.\n     Right-zero reduction: x = x. (Holds)\n   - Equation
hard1_0042,False,False,True,True,labeled:FALSE,811.45,3053,571,0.000656,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = (y * x) * (x * z).\n     Right-zero reduction: (y * x) * (x * z) → (x) * (z) → z.\n 
hard1_0043,False,False,True,True,labeled:FALSE,261.56,3053,710,0.000711,"VERDICT: FALSE\nRULE: count exclusion\n\nReasoning:\n1. Equation 1: x * x = y * (x * (z * w)).\n   - Left side AB: {x: 2}\n   - Right side AB: {x: 1, y: 1, z: 1, w: 1}\n   - The variable counts (AB) a"
