problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,False,True,True,labeled:FALSE,553.35,3132,1593,0.000425,VERDICT: FALSE\nREASONING: default false fallback
hard1_0002,False,True,False,True,labeled:TRUE,410.34,3133,1179,0.000346,"VERDICT: TRUE\nREASONING: Eq1 states that for all variables x,y,z,w the equality x * (y * z) = (z * w) * w holds.  \nConsider any magma (M, *).  \nFix arbitrary elements a,b∈M and let z be any element"
hard1_0003,True,True,True,True,labeled:TRUE,746.16,3130,440,0.000206,"VERDICT: TRUE\nPROOF: The premise of Rule 2.7 (right projection) is satisfied: Eq1 is of the form `x = T * x` with `T = ((y*y)*z)`, and `x` does not occur in `T`. This forces the identity `a * b = b` "
hard1_0004,False,False,True,True,labeled:FALSE,164.19,3133,1363,0.000381,VERDICT: FALSE\nREASONING: default false fallback
hard1_0005,False,True,False,True,labeled:TRUE,48.79,3132,1159,0.000342,"VERDICT: TRUE\nREASONING: Structural heuristic T5 applies (vars(Eq2) < vars(Eq1) and imbalance(Eq2) > imbalance(Eq1)).\nPROOF: The premise of heuristic T5 is satisfied, therefore the implication holds"
hard1_0006,False,False,True,True,labeled:FALSE,384.77,3125,494,0.000216,VERDICT: FALSE\nREASONING: leftmost exclusion
hard1_0007,True,True,True,True,labeled:TRUE,635.03,3132,628,0.000241,"VERDICT: TRUE\nREASONING: Eq1 is bare with the form x = T * x where T = y * (y * (y * z)) does not contain x. By rule 2.7 (right projection family), this forces the magma to satisfy a * b = b for all "
hard1_0008,False,True,False,True,labeled:TRUE,759.72,3133,489,0.000215,VERDICT: TRUE\nREASONING: Eq1 is a bare equation of the form x = x * T where T = y * ((y * z) * y) and T does not contain x. By rule 2.6 (left projection family) this forces the law a * b = a for all 
hard1_0009,False,True,False,True,labeled:TRUE,340.23,3133,2161,0.000533,VERDICT: TRUE\nREASONING: The given source equation forces a left‑projection law in any magma. By substituting \(y:=x\) in the source we obtain\n\(x = ((x*x)*(x*z))*x\).\nSince the leftmost occurrence
hard1_0010,False,True,False,True,labeled:TRUE,640.04,3133,939,0.000301,"VERDICT: TRUE\nREASONING: The premise forces all binary products to be equal to a single constant element, which makes the target identity hold in every magma.\nPROOF: From (x * x) * y = (y * y) * z f"
hard1_0011,False,False,True,True,labeled:FALSE,736.10,3135,644,0.000245,"VERDICT: FALSE\nPROOF: \nRULE: left-zero witness\n\nIn a magma where the binary operation is defined by left projection (a * b = a for all a,b), the given premise holds universally:\n- Compute y * z ="
hard1_0012,False,True,False,True,labeled:TRUE,166.71,3133,1727,0.000450,"VERDICT: TRUE\nREASONING: The premise (x * y) * x = (z * w) * u is a bare equation of the form a * b = c for all choices of variables, which forces every product in the magma to be a constant element."
hard1_0013,True,False,False,True,labeled:FALSE,556.58,3131,384,0.000195,VERDICT: FALSE\nREASONING: default false fallback
hard1_0014,False,False,True,True,labeled:FALSE,717.91,3134,1277,0.000365,VERDICT: FALSE\nREASONING: default false fallback
