problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
order5_hard_0001,True,False,False,True,labeled:FALSE,1715.60,3353,1384,0.000394,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
order5_hard_0002,False,False,True,True,labeled:FALSE,1655.38,3337,1206,0.000359,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
order5_hard_0003,True,True,True,True,labeled:TRUE,1787.28,3353,728,0.000269,"REASONING: The source equation is bare and can be renamed x = P with  \nP = (y * ((z * x) * z)) * (z * y).  \n\nFeatures of P:  \n- rv = 3 (variables x, y, z)  \n- Lx = FALSE (leftmost leaf is y)  \n-"
order5_hard_0004,False,False,True,True,labeled:FALSE,1834.34,3337,880,0.000297,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
order5_hard_0005,True,False,False,True,labeled:FALSE,1890.49,3353,841,0.000291,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
order5_hard_0006,False,True,False,True,labeled:TRUE,1944.42,3337,578,0.000240,"REASONING: The source equation is bare: x = T with T = y * (((x * (z * z)) * y) * y). Features of T are rv=3, Lx=FALSE, Rx=FALSE, xTop=right, ts=v-m, rTot=[1,2,3], xCount=1, which matches contradictio"
order5_hard_0007,True,False,False,True,labeled:FALSE,2034.79,3353,1640,0.000442,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
order5_hard_0008,False,False,True,True,labeled:FALSE,2099.18,3337,1803,0.000473,"REASONING: Counterexample – constant magma where a * b = 0 for all a,b. Take elements {0,1}, define * always 0. Assign x=0, y=1, z=0. Then  \nRHS of Eq1 = (1 * (1 * ((0 * 0) * 0))) * 1 = (1 * (1 * 0))"
order5_hard_0009,True,False,False,True,labeled:FALSE,2144.09,3352,1296,0.000377,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
order5_hard_0010,False,False,True,True,labeled:FALSE,2199.84,3338,1075,0.000334,"REASONING: No true route applies (Eq1 does not match any collapse, projection, or motif patterns, and Eq2 is not a tautology). No false route applies (spine, word, parity, leftmost/rightmost, set, or "
order5_hard_0011,True,False,False,True,labeled:FALSE,2247.64,3352,920,0.000306,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
order5_hard_0012,False,False,True,True,labeled:FALSE,2293.37,3338,1220,0.000362,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
order5_hard_0013,True,False,False,True,labeled:FALSE,2353.14,3352,1784,0.000470,REASONING: default false fallback\nVERDICT: FALSE
order5_hard_0014,False,False,True,True,labeled:FALSE,2405.67,3338,926,0.000306,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
order5_hard_0015,True,False,False,True,labeled:FALSE,2449.50,3352,1344,0.000386,REASONING: default false fallback\nVERDICT: FALSE
order5_hard_0016,False,False,True,True,labeled:FALSE,2493.99,3338,744,0.000272,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
order5_hard_0017,True,True,True,True,labeled:TRUE,610.31,3352,625,0.000249,"REASONING: The source equation is bare, x = T with T = y * (((y * z) * (x * z)) * y). Features of T: rv=3, Lx=FALSE, Rx=FALSE, xTop=right, ts=v-m, rTot=[1,2,3], xCount=1. This matches contradiction mo"
order5_hard_0018,False,False,True,True,labeled:FALSE,700.41,3338,945,0.000310,REASONING: default false fallback\nVERDICT: FALSE
order5_hard_0019,True,False,False,True,labeled:FALSE,1240.28,3353,1448,0.000406,REASONING: spine isolation\nVERDICT: FALSE\nPROOF:
order5_hard_0020,False,False,True,True,labeled:FALSE,1275.31,3338,1011,0.000322,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
order5_hard_0021,True,False,False,True,labeled:FALSE,1348.08,3353,1748,0.000463,REASONING: default false fallback\nVERDICT: FALSE
order5_hard_0022,False,False,True,True,labeled:FALSE,1395.48,3352,996,0.000320,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
order5_hard_0023,True,False,False,True,labeled:FALSE,1446.75,3352,1413,0.000399,REASONING: default false fallback\nVERDICT: FALSE
order5_hard_0024,False,False,True,True,labeled:FALSE,1479.38,3352,755,0.000274,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
order5_hard_0025,True,False,False,True,labeled:FALSE,1558.32,3353,1197,0.000358,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
order5_hard_0026,False,False,True,True,labeled:FALSE,1599.79,3352,1474,0.000411,REASONING: spine isolation\nVERDICT: FALSE\nPROOF:
order5_hard_0027,True,False,False,True,labeled:FALSE,1650.13,3352,768,0.000277,VERDICT: FALSE\nREASONING: default false fallback
order5_hard_0028,False,False,True,True,labeled:FALSE,1711.06,3352,1438,0.000404,REASONING: default false fallback\nVERDICT: FALSE
order5_hard_0029,True,False,False,True,labeled:FALSE,1754.78,3353,1035,0.000327,REASONING: default false fallback\nVERDICT: FALSE
order5_hard_0030,False,False,True,True,labeled:FALSE,1811.10,3353,1898,0.000491,"REASONING: Counterexample found (right‑projection magma a*b = b). In this magma Eq1 reduces to x = z, which can hold (e.g., assign x = z = 0, y = 1, w = u = any). Then Eq2 reduces to x = y, which fail"
order5_hard_0031,True,True,True,True,labeled:TRUE,1832.77,3353,757,0.000275,"REASONING: The source term P = (y*z)*((y*(x*y))*z) has distinct variables {x,y,z} (rv=3). The leftmost leaf is y (Lx=FALSE) and the rightmost leaf is z (Rx=FALSE). At the top product split, x occurs o"
