problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,False,True,True,VERDICT: FALSE,313.13,220,12709,0.006398,VERDICT: FALSE
hard1_0002,False,,,False,,1131.85,0,0,0.000000,[EXCEPTION] TimeoutError: 
hard1_0003,True,False,False,True,VERDICT: FALSE,16.23,218,2498,0.001293,VERDICT: FALSE
hard1_0004,False,False,True,True,VERDICT: FALSE,107.87,221,10505,0.005297,VERDICT: FALSE
hard1_0005,False,True,False,True,VERDICT: TRUE,319.94,220,17457,0.008773,VERDICT: TRUE
hard1_0006,False,False,True,True,VERDICT: FALSE,6.73,213,1052,0.000569,VERDICT: FALSE
hard1_0007,True,False,False,True,VERDICT: FALSE,47.56,220,1282,0.000685,VERDICT: FALSE
hard1_0008,False,,,False,,1019.85,0,0,0.000000,[EXCEPTION] TimeoutError: 
hard1_0009,False,,,False,,1117.85,0,0,0.000000,[EXCEPTION] TimeoutError: 
hard1_0010,False,False,True,True,VERDICT: FALSE,33.54,221,5919,0.003004,VERDICT: FALSE
hard1_0011,False,False,True,True,VERDICT: FALSE,39.58,223,974,0.000532,VERDICT: FALSE
hard1_0012,False,False,True,True,VERDICT: FALSE,173.63,221,2026,0.001057,VERDICT: FALSE
hard1_0013,True,,,False,,1104.85,0,0,0.000000,[EXCEPTION] TimeoutError: 
hard1_0014,False,False,True,True,VERDICT: FALSE,500.60,222,4475,0.002282,VERDICT: FALSE
hard1_0015,False,False,True,True,VERDICT: FALSE,944.93,220,14117,0.007102,VERDICT: FALSE
hard1_0016,False,,,False,,1015.85,0,0,0.000000,[EXCEPTION] TimeoutError: 
hard1_0017,False,False,True,True,VERDICT: FALSE,769.13,221,15275,0.007682,VERDICT: FALSE
hard1_0018,True,False,False,True,VERDICT: FALSE,474.79,222,2608,0.001348,VERDICT: FALSE
hard1_0019,False,False,True,True,VERDICT: FALSE,83.67,219,9954,0.005021,VERDICT: FALSE
hard1_0020,False,False,True,True,VERDICT: FALSE,143.04,221,1092,0.000590,VERDICT: FALSE
hard1_0021,False,False,True,True,VERDICT: FALSE,288.65,218,2905,0.001496,VERDICT: FALSE
hard1_0022,False,,,False,,1178.85,0,0,0.000000,[EXCEPTION] TimeoutError: 
hard1_0023,True,True,True,True,VERDICT: TRUE,875.90,218,10533,0.005310,VERDICT: TRUE
hard1_0024,False,False,True,True,VERDICT: FALSE,899.21,221,3027,0.001558,VERDICT: FALSE
