problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
order5_hard_0001,True,False,False,True,labeled:FALSE,185.03,3062,411,0.000593,"VERDICT: FALSE\nRULE: count exclusion\n\nReasoning:\n1. Equation 1: x = ((y * ((z * y) * x)) * y) * z.\n   Left side: {x: 1}\n   Right side: {x: 1, y: 2, z: 2}\n   The variable counts (AB) are differe"
order5_hard_0002,False,True,False,True,labeled:TRUE,226.69,3046,748,0.000726,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * (x * (x * (y * (z * z))))\n     Right-zero reduction: x = z.\n     This does not
order5_hard_0003,True,False,False,True,labeled:FALSE,270.36,3062,621,0.000677,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = (y * ((z * x) * z)) * (z * y)\n     Right-zero reduction:\n     LHS = x\n     RHS = 
order5_hard_0004,False,True,False,True,labeled:TRUE,343.11,3047,949,0.000806,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = ((((y * y) * z) * x) * x) * z.\n     Right-zero reduction: x = z.\n     This does no
order5_hard_0005,True,False,False,True,labeled:FALSE,385.94,3062,336,0.000563,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * ((z * (x * y)) * (y * z))\n     Right-zero reduction: x = (y * z) -> x = z.\n   
order5_hard_0006,False,False,True,True,labeled:FALSE,522.59,3046,779,0.000738,"VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * (((x * (z * z)) * y) * y).\n     Right-zero reduction: x = y. (Wait, the rightmo"
order5_hard_0007,True,False,False,True,labeled:FALSE,745.29,3062,889,0.000784,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   Equation 1: x = (y * z) * (((z * x) * z) * y)\n   LHS = x\n   RHS = (y * z) * (((z * x) * z) * y) → (z
order5_hard_0008,False,False,True,True,labeled:FALSE,967.52,3046,626,0.000677,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = (y * (y * ((z * z) * x))) * y\n     Right-zero reduction:\n     LHS = x\n     RHS = 
order5_hard_0009,True,False,False,True,labeled:FALSE,925.14,3061,828,0.000760,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   Equation 1: x = (y * ((z * x) * (y * z))) * y\n   Right-zero reduction:\n   LHS = x\n   RHS = (y * ((z
order5_hard_0010,False,False,True,True,labeled:FALSE,1046.88,3047,605,0.000669,VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. Test Equation 1 under left-zero magma (a * b = a):\n   LHS: x\n   RHS: (y * z) * (x * (z * (z * z))) -> y * (x * (z * z)) -> y * x -> y\n   Eq
order5_hard_0011,True,False,False,True,labeled:FALSE,1033.57,3061,718,0.000716,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   Equation 1: x = y * ((z * (x * (z * y))) * z)\n   Right-zero reduction:\n   LHS = x\n   RHS = y * ((z 
