problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard3_0050,False,False,True,True,labeled:FALSE,130.62,3294,717,0.000748,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x * x = y * (y * x)\nEq2: x * y = ((z * x) * y) * y\nEq1 is not bare.\n\nSTEP 2. TRUE ROUTES\n2.1 Exact renaming: No.\n2.2 Tautological target: No.\n2.3 Sing
hard3_0051,True,False,False,True,labeled:FALSE,347.14,3294,657,0.000724,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x * y = z * (x * z)\nEq2: x * y = (y * (y * y)) * y\nEq1 is not bare (both sides are products).\n\nSTEP 2. TRUE ROUTES\n2.1 Exact identity: No.\n2.2 Tautolog
hard3_0052,True,False,False,True,labeled:FALSE,412.25,3295,649,0.000721,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x * y = z * (y * z)\nEq2: x * y = (x * z) * (x * w)\nEq1 is not bare (both sides are products).\n\nSTEP 2. TRUE ROUTES\n2.1 Exact identity: No.\n2.2 Tautolog
hard3_0053,True,False,False,True,labeled:FALSE,380.75,3295,728,0.000753,"REASONING: Eq1 is x * y = z * (y * z). This is a bare equation (one side is a single variable x).\nNormalize Eq1: x = z * (y * z).\nFeatures of P = z * (y * z):\nrhsVars = 2 ({y, z})\nLx = FALSE (left"
hard3_0054,True,True,True,True,labeled:TRUE,97.35,3294,357,0.000604,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x * y = z * (z * w)\nEq2: x * y = (x * (z * w)) * u\nEq1 is not bare (both sides are products).\n\nSTEP 2. TRUE ROUTES\n2.1 Exact renaming: No.\n2.2 Tautolog
hard3_0055,False,False,True,True,labeled:FALSE,149.06,3294,653,0.000722,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x * x = (x * y) * z\nEq2: x * y = ((x * x) * x) * y\n\nSTEP 2. TRUE ROUTES\n2.1 Exact identity: No.\n2.2 Tautological target: No.\n2.3 Singleton collapse: No
hard3_0056,False,False,True,True,labeled:FALSE,198.70,3295,615,0.000707,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x * x = (y * x) * z\nEq2: x * (x * y) = x * (z * z)\nEq1 is not bare.\nEq1 WORD: LHS=[x, x], RHS=[y, x, z].\nEq1 SET: LHS={x}, RHS={y, x, z}.\nEq1 AB: LHS={x"
hard3_0057,False,False,True,True,labeled:FALSE,340.37,3291,579,0.000692,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x * x = (y * z) * z\nEq2: x * x = y * (y * x)\n\nSTEP 2. TRUE ROUTES\n2.1 Exact renaming: No.\n2.2 Tautological target: No.\n2.3 Singleton collapse: No.\n2.4
hard3_0058,True,True,True,True,labeled:TRUE,384.52,3291,215,0.000547,"REASONING: Eq1 is x * x = (y * z) * w. Both sides are non-variable product terms. The variable set of the LHS is {x} and the variable set of the RHS is {y, z, w}. These sets are disjoint. According to"
hard3_0059,False,True,False,True,labeled:TRUE,146.72,3295,469,0.000649,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x * x = (y * z) * w\nEq2: x * (x * y) = (z * x) * y\n\nEq1:\nLHS: x * x (WORD: xx, SET: {x}, AB: {x:2})\nRHS: (y * z) * w (WORD: yzw, SET: {y,z,w}, AB: {y:1,"
hard3_0060,True,False,False,True,labeled:FALSE,270.29,3295,675,0.000731,REASONING: Eq1 is x * y = (z * z) * x. This is not a bare equation (neither side is a single variable).\nSTEP 1:\nEq1: x * y = (z * z) * x\nEq2: x * y = (z * w) * (w * u)\n\nSTEP 2 (TRUE ROUTES):\n- 2
hard3_0061,True,True,True,True,labeled:TRUE,374.08,3294,232,0.000554,"REASONING: Eq1 is x * y = (z * z) * z. This is of the form A = B where both A and B are non-variable product terms, and the variable sets of A ({x, y}) and B ({z}) are disjoint. According to RULE: con"
hard3_0062,False,False,True,True,labeled:FALSE,29.52,3299,1104,0.000903,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = x * (x * (y * (y * x)))\nEq2: x = x * ((y * y) * (x * x))\n\nSTEP 2. TRUE ROUTES\n2.1 Exact renaming: No.\n2.2 Tautological target: No.\n2.3 Singleton co
hard3_0063,False,False,True,True,labeled:FALSE,461.92,3299,993,0.000859,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = x * (x * (y * (z * y)))\nEq2: x = x * ((y * (z * w)) * w)\n\nSTEP 2. TRUE ROUTES\n2.1 Exact renaming: No.\n2.2 Tautological target: No.\n2.3 Singleton co
hard3_0064,False,False,True,True,labeled:FALSE,392.05,3299,1053,0.000883,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = x * (x * (y * (z * z)))\nEq2: x = (x * ((y * y) * x)) * x\nEq1 is bare.\n\nSTEP 2. TRUE ROUTES\n2.1-2.4: No match.\n2.5 Source-collapse: Eq1 is x = x * T
hard3_0065,False,False,True,True,labeled:FALSE,536.11,3295,629,0.000713,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = x * (y * (x * (x * z)))\nEq2: x * x = (x * x) * y\nEq1 is bare (left side is single variable x).\n\nSTEP 2. TRUE ROUTES\n2.1-2.4: No match.\n2.5 Source-c
hard3_0066,True,False,False,True,labeled:FALSE,266.13,3300,1217,0.000949,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = x * (y * (x * (z * w)))\nEq2: x = (x * y) * ((z * w) * z)\n\nEq1 is bare (left side is single variable x).\nEq1 normalized: x = x * (y * (x * (z * w)))\n
hard3_0067,True,True,True,True,labeled:TRUE,368.02,3299,375,0.000612,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = x * (y * (z * (y * w)))\nEq2: x = x * (x * ((x * x) * y))\n\nSTEP 2. TRUE ROUTES\n2.1 Exact renaming: No.\n2.2 Tautological target: No.\n2.3 Singleton co
hard3_0068,True,True,True,True,labeled:TRUE,93.74,3299,330,0.000594,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = x * (y * (z * (z * z)))\nEq2: x = x * ((y * (y * z)) * x)\n\nSTEP 2. TRUE ROUTES\n2.1 Exact renaming: No.\n2.2 Tautological target: No.\n2.3 Singleton co
hard3_0069,False,False,True,True,labeled:FALSE,366.75,3300,1011,0.000866,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * (x * (z * (x * x)))\nEq2: x = ((y * x) * x) * (x * x)\n\nEq1 is bare (left side is single variable x).\nP = y * (x * (z * (x * x)))\nrhsVars = 3 ({y,"
hard3_0070,False,False,True,True,labeled:FALSE,525.76,3296,939,0.000837,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * (x * (z * (y * x)))\nEq2: x = y * ((x * x) * x)\n\nEq1 is bare (left side is single variable x).\nP = y * (x * (z * (y * x)))\nrhsVars = 3 ({x, y, z}"
hard3_0071,False,False,True,True,labeled:FALSE,34.55,3300,1263,0.000967,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * (y * (y * (x * y)))\nEq2: x = ((y * y) * x) * (z * z)\n\nEq1 is bare (left side is single variable x).\nEq1 normalized: x = y * (y * (y * (x * y)))\n
hard3_0072,False,False,True,True,labeled:FALSE,203.52,3299,971,0.000850,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * (y * (y * (x * y)))\nEq2: x = (((y * z) * z) * x) * y\n\nEq1 is bare (left side is single variable x).\nP = y * (y * (y * (x * y)))\nrhsVars = 2 ({x,"
hard3_0073,False,False,True,True,labeled:FALSE,364.49,3299,1067,0.000889,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * (z * (x * (y * x)))\nEq2: x = y * (((z * y) * x) * x)\n\nEq1 is bare (left side is single variable x).\nP = y * (z * (x * (y * x)))\nrhsVars = 3 ({x,"
hard3_0074,False,False,True,True,labeled:FALSE,35.47,3300,1307,0.000985,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * (z * (x * (z * x)))\nEq2: x = (x * (x * x)) * (x * x)\n\nEq1 is bare (left side is single variable x).\nP = y * (z * (x * (z * x)))\nrhsVars = 3 ({y,"
hard3_0075,False,True,False,True,labeled:TRUE,68.42,3300,567,0.000689,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * (z * (x * (z * x)))\nEq2: x = ((x * x) * y) * (y * x)\n\nEq1 is bare (left side is single variable x).\nEq1 normalized: x = y * (z * (x * (z * x)))\n
hard3_0076,False,True,False,True,labeled:TRUE,277.04,3300,435,0.000636,"REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * (z * (x * (w * x)))\nEq2: x = (y * (z * x)) * (z * x)\n\nEq1 is bare (left side is single variable x).\nP = y * (z * (x * (w * x)))\nrhsVars = 4 {y, "
hard3_0077,True,False,False,True,labeled:FALSE,398.29,3298,1221,0.000950,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * (z * (y * (x * x)))\nEq2: x * y = (x * (z * x)) * y\nEq1 is bare (left side is single variable x).\n\nSTEP 2. TRUE ROUTES\n2.1-2.4: No exact identity
hard3_0078,False,False,True,True,labeled:FALSE,29.35,3299,1100,0.000902,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * (z * (y * (x * z)))\nEq2: x * (x * y) = (x * x) * y\nEq1 is bare (left side is single variable x).\n\nSTEP 2. TRUE ROUTES\n2.1-2.4: No match.\n2.5 So
hard3_0079,False,False,True,True,labeled:FALSE,214.76,3300,568,0.000689,REASONING:\nSTEP 1. EXTRACT FEATURES\nEq1: x = y * (z * (z * (z * x)))\nEq2: x = ((y * y) * z) * (x * x)\n\nEq1 is bare (left side is single variable x).\nEq1 normalized: x = y * (z * (z * (z * x)))\n
