problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard2_0001,False,,,False,,683.93,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0002,False,,,False,,715.16,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0003,True,,,False,,775.29,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0004,True,,,False,,807.03,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0005,True,,,False,,867.01,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0006,True,,,False,,927.10,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0007,False,,,False,,957.92,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0008,True,,,False,,1018.18,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0009,False,,,False,,442.67,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0010,False,,,False,,502.18,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0011,False,,,False,,563.34,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0012,False,,,False,,593.99,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0013,False,,,False,,654.02,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0014,False,,,False,,686.66,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0015,False,,,False,,745.73,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0016,False,,,False,,805.34,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0017,True,,,False,,835.82,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0018,True,,,False,,896.85,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0019,True,,,False,,928.27,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0020,False,,,False,,988.44,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0021,True,,,False,,442.23,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0022,True,,,False,,473.06,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0023,True,,,False,,532.47,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0024,True,,,False,,563.82,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0025,False,,,False,,624.64,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0026,True,,,False,,683.96,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0027,False,,,False,,715.50,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0028,True,,,False,,775.91,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0029,False,,,False,,807.55,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0030,True,,,False,,866.98,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0031,False,,,False,,927.12,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0032,False,,,False,,957.87,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0033,True,,,False,,1018.33,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0034,False,,,False,,442.45,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0035,True,,,False,,501.91,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0036,True,,,False,,562.54,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0037,True,,,False,,593.84,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0038,False,,,False,,654.53,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
hard2_0039,True,,,False,,685.62,0,0,0.000000,[EXCEPTION] RuntimeError: Failed after 3 retries
