problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,False,True,True,VERDICT: FALSE,26.09,3003,3806,0.002504,"VERDICT: FALSE\nRULE: default false\nNo TRUE routes apply. No syntactic FALSE routes or small witnesses fire. Eq1 (vars {x,y}) cannot force Eq2 (vars {x,y,z,w})."
hard1_0002,False,False,True,True,VERDICT: FALSE,140.91,3004,5160,0.003181,"VERDICT: FALSE\nRULE: default false\nNo exact TRUE routes apply (not identical, not bare/singleton/collapse/constant/projection/contradiction/instance/structural match).  \nNo syntactic FALSE exclusio"
hard1_0003,True,True,True,True,VERDICT: TRUE,203.85,3001,846,0.001023,"VERDICT: TRUE  \nRULE: right projection  \nEq1 is bare x = T * x with T=((y*y)*z) containing no x, forcing right projection (a*b=b).  \nUnder right projection, both sides of Eq2 collapse to x."
hard1_0004,False,False,True,True,VERDICT: FALSE,69.10,3004,7168,0.004185,"VERDICT: FALSE  \nRULE: finite counterexample  \nMagma on {0,1,2} with table:  \n0*anything=0; 1*anything=0; 2*0=0, 2*1=1, 2*2=0.  \nEq1 holds everywhere since all image={0,1} rows constant to 0.  \nE"
hard1_0005,False,False,True,True,VERDICT: FALSE,92.17,3003,4132,0.002667,"VERDICT: FALSE\nRULE: default false\nNo exact TRUE routes (2.1-2.11) fired. Syntactic FALSE routes (3) inapplicable as premises unmatched (e.g., Eq1 sides differ in WORD/PARITY invariants). No small w"
hard1_0006,False,False,True,True,VERDICT: FALSE,184.69,2996,1149,0.001174,"VERDICT: FALSE  \nRULE: leftmost exclusion  \nEq1 has leftmost variable x on both sides, but Eq2 has x on left and y on right."
hard1_0007,True,True,True,True,VERDICT: TRUE,269.36,3003,3319,0.002260,VERDICT: TRUE\nRULE: right projection\nEquation 1 is bare with form x = T * x (T = y * (y * (y * z)) contains no x). Rightmost-variable collapse of Equation 2: left x * y → y; right z * (w * (w * y)) 
hard1_0008,False,False,True,True,VERDICT: FALSE,155.70,3004,13486,0.007344,"VERDICT: FALSE\nRULE: default false\nNo exact TRUE route fires without doubt, as left projection family does not generally force full a*b=a in arbitrary magmas (image of T may not cover all elements)."
hard1_0009,False,True,False,True,VERDICT: TRUE,150.90,3004,1542,0.001372,"VERDICT: TRUE\nRULE: contradiction motif\nBare Eq1: x = ((x * x) * (y * z)) * y. Features of RHS: rhsVars=3, Lx=TRUE, Rx=FALSE, xTop=left, topShape=m-v, rhsTotals=122, xCount=2. Matches C8 exactly."
hard1_0010,False,False,True,True,VERDICT: FALSE,253.12,3004,7388,0.004295,"VERDICT: FALSE  \nRULE: default false  \nNo TRUE or syntactic FALSE routes apply. Small finite witnesses fail to decide as Eq1 does not hold in left-zero, right-zero, XOR parity, or constant magmas. A"
hard1_0011,False,False,True,True,VERDICT: FALSE,30.63,3006,2254,0.001728,"VERDICT: FALSE  \nRULE: spine isolation  \nEq1 is bare with x exactly once in right side; path to x is LL (pure left-spine, depth 2).  \nEq2 right side contains no x, so no path to x and thus not pure"
hard1_0012,False,True,False,True,VERDICT: TRUE,308.28,3004,4804,0.003003,VERDICT: TRUE\nRULE: constant operation
hard1_0013,True,False,False,True,VERDICT: FALSE,22.95,3002,2249,0.001725,"VERDICT: FALSE  \nRULE: default false  \nNo exact TRUE or syntactic FALSE routes apply. No small finite witnesses verify a counterexample. Per instructions, default to FALSE."
hard1_0014,False,False,True,True,VERDICT: FALSE,101.67,3005,2605,0.001904,VERDICT: FALSE\nRULE: default false
hard1_0015,False,False,True,True,VERDICT: FALSE,201.56,3003,2462,0.001832,VERDICT: FALSE\nRULE: default false\n\nNo TRUE or syntactic FALSE routes apply. Small witnesses either fail Eq1 or hold for Eq2. No exact rewrite reaches Eq2 from Eq1.
