problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard3_0001,True,True,True,True,labeled:TRUE,236.40,2992,265,0.000525,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  TRUE           |  TRUE\nLP        |  LM(L)=x LM(R)=y same?F | LM(L)=x LM(R)=x same?T\nRP        |  RM(L)=x RM(R)=x same?T | RM(L)=x RM(R)
hard3_0002,True,True,True,True,labeled:TRUE,412.54,2996,4154,0.002081,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  Yes            |  Yes\nLP        |  LM(L)=x LM(R)=x same?Y | LM(L)=x LM(R)=x same?Y\nRP        |  RM(L)=x RM(R)=y same?N | RM(L)=x RM(R)=
hard3_0003,True,False,False,True,labeled:FALSE,459.67,2996,649,0.000679,CERT-F\n```\n          |  Eq1            |  Eq2\nbare?     |  TRUE           |  TRUE\nLP        |  LM(L)=x LM(R)=y same?F | LM(L)=x LM(R)=y same?F\nRP        |  RM(L)=x RM(R)=x same?T | RM(L)=x RM(R)=
hard3_0004,True,True,True,True,labeled:TRUE,513.86,2996,238,0.000515,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  TRUE           |  FALSE\nLP        |  LM(L)=x LM(R)=y same?F | LM(L)=x LM(R)=y same?F\nRP        |  RM(L)=x RM(R)=w same?F | RM(L)=y RM(R
hard3_0005,True,True,True,True,labeled:TRUE,755.94,2995,845,0.000757,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  Yes            |  No\nLP        |  LM(L)=x LM(R)=y same?N | LM(L)=x LM(R)=y same?N\nRP        |  RM(L)=x RM(R)=x same?Y | RM(L)=y RM(R)=y
hard3_0006,True,True,True,True,labeled:TRUE,787.65,2994,853,0.000760,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  no             |  no\nLP        |  LM(L)=x LM(R)=x same?T | LM(L)=x LM(R)=x same?T\nRP        |  RM(L)=x RM(R)=y same?F | RM(L)=x RM(R)=z
hard3_0007,False,False,True,True,labeled:FALSE,939.89,2994,650,0.000679,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  no             |  no\nLP        |  LM(L)=x LM(R)=x same?T | LM(L)=x LM(R)=x same?T\nRP        |  RM(L)=x RM(R)=y same?F | RM(L)=z RM(R)=w
hard3_0008,True,True,True,True,labeled:TRUE,1066.77,2994,803,0.000740,CERT-F\n```\n          |  Eq1            |  Eq2\nbare?     |  no             |  no\nLP        |  LM(L)=x LM(R)=y same?no | LM(L)=x LM(R)=y same?no\nRP        |  RM(L)=x RM(R)=z same?no | RM(L)=y RM(R)
hard3_0009,False,False,True,True,labeled:FALSE,2909.97,2999,379,0.000571,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  Yes            |  Yes\nLP        |  LM(L)=x LM(R)=x same?Y | LM(L)=x LM(R)=x same?Y\nRP        |  RM(L)=x RM(R)=y same?N | RM(L)=x RM(R)=
hard3_0010,False,False,True,True,labeled:FALSE,2913.41,2998,528,0.000631,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  TRUE           |  FALSE\nLP        |  LM(L)=x LM(R)=x same?T | LM(L)=x LM(R)=x same?T\nRP        |  RM(L)=x RM(R)=x same?T | RM(L)=x RM(R
hard3_0011,False,True,False,True,labeled:TRUE,2970.82,2999,1079,0.000851,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  Yes            |  Yes\nLP        |  LM(L)=x LM(R)=x same?Y | LM(L)=x LM(R)=x same?Y\nRP        |  RM(L)=x RM(R)=z same?N | RM(L)=x RM(R)=
hard3_0012,False,False,True,True,labeled:FALSE,1281.29,2999,799,0.000739,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  TRUE           |  FALSE\nLP        |  LM(L)=x LM(R)=x same?T | LM(L)=x LM(R)=x same?T\nRP        |  RM(L)=x RM(R)=x same?T | RM(L)=x RM(R
hard3_0013,False,False,True,True,labeled:FALSE,1291.78,2999,531,0.000632,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  TRUE           |  TRUE\nLP        |  LM(L)=x LM(R)=x same?T | LM(L)=x LM(R)=x same?T\nRP        |  RM(L)=x RM(R)=x same?T | RM(L)=x RM(R)
hard3_0014,True,True,True,True,labeled:TRUE,1360.95,2999,483,0.000613,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  TRUE           |  TRUE\nLP        |  LM(L)=x LM(R)=x same?T | LM(L)=x LM(R)=x same?T\nRP        |  RM(L)=x RM(R)=y same?F | RM(L)=x RM(R)
hard3_0015,True,True,True,True,labeled:TRUE,1396.39,2998,275,0.000530,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  TRUE           |  FALSE\nLP        |  LM(L)=x LM(R)=x same?T | LM(L)=x LM(R)=x same?T\nRP        |  RM(L)=x RM(R)=z same?F | RM(L)=y RM(R
hard3_0016,False,False,True,True,labeled:FALSE,2980.81,2999,682,0.000693,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  Yes            |  No\nLP        |  LM(L)=x LM(R)=y same?N | LM(L)=x LM(R)=y same?N\nRP        |  RM(L)=x RM(R)=x same?Y | RM(L)=y RM(R)=y
hard3_0017,False,False,True,True,labeled:FALSE,1562.97,2996,668,0.000687,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  Yes            |  Yes\nLP        |  LM(L)=x LM(R)=y same?N | LM(L)=x LM(R)=x same?Y\nRP        |  RM(L)=x RM(R)=x same?Y | RM(L)=x RM(R)=
hard3_0018,False,False,True,True,labeled:FALSE,2103.23,2999,625,0.000670,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  Yes            |  Yes\nLP        |  LM(L)=x LM(R)=y same?N | LM(L)=x LM(R)=y same?N\nRP        |  RM(L)=x RM(R)=x same?Y | RM(L)=x RM(R)=
hard3_0019,False,False,True,True,labeled:FALSE,3588.93,2999,1063,0.000845,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  TRUE           |  TRUE\nLP        |  LM(L)=x LM(R)=y same?F | LM(L)=x LM(R)=y same?F\nRP        |  RM(L)=x RM(R)=x same?T | RM(L)=x RM(R)
hard3_0020,True,True,True,True,labeled:TRUE,73.68,3000,2965,0.001606,CERT-F\n```\n          |  Eq1            |  Eq2\nbare?     |  Yes            |  Yes\nLP        |  LM(L)=x LM(R)=y same?N | LM(L)=x LM(R)=x same?Y\nRP        |  RM(L)=x RM(R)=x same?Y | RM(L)=x RM(R)=x
hard3_0021,False,False,True,True,labeled:FALSE,14.24,2999,653,0.000681,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  TRUE           |  TRUE\nLP        |  LM(L)=x LM(R)=x same?T | LM(L)=x LM(R)=x same?T\nRP        |  RM(L)=x RM(R)=y same?F | RM(L)=x RM(R)
hard3_0022,False,True,False,True,labeled:TRUE,37.93,2998,799,0.000739,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  TRUE           |  FALSE\nLP        |  LM(L)=x LM(R)=x same?T | LM(L)=x LM(R)=x same?T\nRP        |  RM(L)=x RM(R)=z same?F | RM(L)=y RM(R
hard3_0023,True,True,True,True,labeled:TRUE,95.60,2993,1518,0.001026,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  TRUE           |  TRUE\nLP        |  LM(L)=x LM(R)=x same?T | LM(L)=x LM(R)=x same?T\nRP        |  RM(L)=x RM(R)=x same?T | RM(L)=x RM(R)
hard3_0024,True,True,True,True,labeled:TRUE,92.34,2999,264,0.000525,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  Yes            |  No\nLP        |  LM(L)=x LM(R)=x same?Y | LM(L)=x LM(R)=x same?Y\nRP        |  RM(L)=x RM(R)=z same?N | RM(L)=x RM(R)=x
hard3_0025,False,True,False,True,labeled:TRUE,208.59,3000,724,0.000710,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  TRUE           |  TRUE\nLP        |  LM(L)=x LM(R)=y same?F | LM(L)=x LM(R)=y same?F\nRP        |  RM(L)=x RM(R)=x same?T | RM(L)=x RM(R)
hard3_0026,False,True,False,True,labeled:TRUE,215.19,3000,616,0.000666,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  Yes            |  Yes\nLP        |  LM(L)=x LM(R)=y same?N | LM(L)=x LM(R)=y same?N\nRP        |  RM(L)=x RM(R)=x same?Y | RM(L)=x RM(R)=
hard3_0027,True,True,True,True,labeled:TRUE,284.82,2997,289,0.000535,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  Yes            |  No\nLP        |  LM(L)=x LM(R)=y same?N | LM(L)=x LM(R)=y same?N\nRP        |  RM(L)=x RM(R)=x same?Y | RM(L)=x RM(R)=x
hard3_0028,True,True,True,True,labeled:TRUE,273.25,3000,444,0.000598,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  TRUE           |  TRUE\nLP        |  LM(L)=x LM(R)=y same?F | LM(L)=x LM(R)=y same?F\nRP        |  RM(L)=x RM(R)=x same?T | RM(L)=x RM(R)
hard3_0029,False,True,False,True,labeled:TRUE,328.27,2998,353,0.000561,CERT-F:\n```\n          |  Eq1            |  Eq2\nbare?     |  TRUE           |  FALSE\nLP        |  LM(L)=x LM(R)=y same?F | LM(L)=x LM(R)=y same?F\nRP        |  RM(L)=x RM(R)=x same?T | RM(L)=y RM(R
