problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard3_0001,True,False,False,True,labeled:FALSE,853.20,2946,597,0.000228,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0002,True,,,False,,986.17,2950,8192,0.001672,"REASONING:  \nEq1 is a bare equation of the form x = x * T with T = x * y.  \nSince T contains the variable x, the direct left‑projection rule (2.6) does not apply, but we can still analyse the identi"
hard3_0003,True,False,False,True,labeled:FALSE,926.75,2950,1684,0.000435,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0004,True,True,True,True,labeled:TRUE,938.34,2950,721,0.000252,REASONING: The premise of rule 2.3 (singleton / collapse source) is satisfied: the given equation can be renamed to the form x = T where the variable x does not occur in the term T (here T = y * (z * 
hard3_0005,True,True,True,True,labeled:TRUE,962.94,2949,510,0.000212,REASONING: The source equation is bare and matches the right‑projection pattern x = T * x with T = (y*z) not containing x. By rule 2.7 this forces the identity a * b = b in every magma satisfying the 
hard3_0006,True,False,False,True,labeled:FALSE,985.45,2948,250,0.000162,"REASONING: leftmost-variable exclusion (rule 3.3) fires because Eq1 has the same leftmost variable on both sides (both start with x), while Eq2’s leftmost variables differ (left side starts with x, ri"
hard3_0007,False,False,True,True,labeled:FALSE,1027.81,2948,1945,0.000485,"VERDICT: FALSE\nPROOF:\nCounterexample magma with two elements {a,b} and operation * defined by the table:\n\n- a * a = b\n- a * b = b\n- b * a = a\n- b * b = a\n\nIn this magma, for all x,y we have x"
hard3_0008,True,True,True,True,labeled:TRUE,1042.29,2948,816,0.000270,"REASONING:  \nEq1 is the identity \(x*x = y*z\).  For any elements \(a,b,c\) of a magma, instantiate the variables as \(x:=a\), \(y:=b\), \(z:=c\).  Then the identity gives \(a*a = b*c\).  Since \(a,b"
hard3_0009,False,False,True,True,labeled:FALSE,1076.68,2953,1728,0.000443,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0010,False,False,True,True,labeled:FALSE,1093.26,2952,1470,0.000394,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0011,False,False,True,True,labeled:FALSE,1129.22,2953,1522,0.000404,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0012,False,False,True,True,labeled:FALSE,1175.25,2953,1780,0.000453,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0013,False,False,True,True,labeled:FALSE,1189.41,2953,1720,0.000442,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0014,True,False,False,True,labeled:FALSE,1215.09,2953,1045,0.000314,REASONING: spine isolation  \nVERDICT: FALSE  \nPROOF:  
hard3_0015,True,True,True,True,labeled:TRUE,1237.33,2952,376,0.000187,REASONING: The source equation is bare (x = x * T) with T = y * (z * z) which does not contain x. By rule 2.6 (left projection) this forces a * b = a for all elements of any magma. Under this projecti
hard3_0016,False,False,True,True,labeled:FALSE,1277.02,2953,1869,0.000470,REASONING: default false fallback\nVERDICT: FALSE
hard3_0017,False,False,True,True,labeled:FALSE,1303.79,2950,1736,0.000445,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0018,False,False,True,True,labeled:FALSE,18.10,2953,1057,0.000316,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0019,False,False,True,True,labeled:FALSE,45.56,2953,1232,0.000349,REASONING: spine isolation  \nThe premise of rule 3.0 holds because Eq1 is bare (x = T) and the variable x occurs exactly once in the term T = y * (y * (z * x)). Tracing the path from the root of T to
hard3_0020,True,False,False,True,labeled:FALSE,65.94,2954,915,0.000289,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0021,False,False,True,True,labeled:FALSE,110.90,2953,2099,0.000514,REASONING: default false fallback\nVERDICT: FALSE
hard3_0022,False,False,True,True,labeled:FALSE,129.67,2952,1517,0.000403,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0023,True,False,False,True,labeled:FALSE,165.76,2947,1923,0.000480,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0024,True,False,False,True,labeled:FALSE,187.78,2953,1521,0.000404,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0025,False,False,True,True,labeled:FALSE,208.65,2954,1084,0.000321,"REASONING: No true route applies (Eq1 is bare but contains x in the product side, so left/right projection rules are skipped; contradiction motif does not match; source‑collapse lemmas do not match). "
hard3_0026,False,False,True,True,labeled:FALSE,234.12,2954,1453,0.000391,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0027,True,True,True,True,labeled:TRUE,255.09,2951,727,0.000253,"REASONING: The equation is bare (x = T) with T = y * ((z * x) * x). Analyzing the product side P = y * ((z * x) * x) gives the feature vector:\nrhsVars=3, Lx=FALSE, Rx=TRUE, xTop=right, topShape=v-m, "
hard3_0028,True,True,True,True,labeled:TRUE,311.19,2954,2500,0.000590,"REASONING: From Eq1 we have for all elements a,b,c in any magma  \n a = b * ((c * a) * a).  \nLet X = ((c * a) * a). Then b * X = a for every choice of b. Since b is arbitrary, the value of b * X cann"
hard3_0029,False,True,False,True,labeled:TRUE,307.32,2952,515,0.000213,"REASONING: The source equation is bare (single variable on the left). It can be rewritten as x = (y * (z * y)) * x, i.e. of the form x = T * x where T = y * (z * y) does not contain x. By rule 2.7 (ri"
hard3_0030,True,False,False,True,labeled:FALSE,353.29,2953,1744,0.000447,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0031,False,False,True,True,labeled:FALSE,372.07,2953,1751,0.000448,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0032,False,False,True,True,labeled:FALSE,390.52,2953,1274,0.000357,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0033,True,False,False,True,labeled:FALSE,418.67,2953,1381,0.000378,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0034,True,False,False,True,labeled:FALSE,449.11,2954,2021,0.000499,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0035,False,False,True,True,labeled:FALSE,491.25,2954,2150,0.000524,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0036,True,False,False,True,labeled:FALSE,490.14,2954,1225,0.000348,REASONING: default false fallback\nVERDICT: FALSE
hard3_0037,False,False,True,True,labeled:FALSE,541.42,2952,1992,0.000494,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0038,True,False,False,True,labeled:FALSE,560.42,2952,1324,0.000367,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0039,False,False,True,True,labeled:FALSE,587.92,2954,1563,0.000412,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0040,False,False,True,True,labeled:FALSE,603.41,2953,965,0.000299,REASONING: default false fallback\nVERDICT: FALSE
hard3_0041,False,False,True,True,labeled:FALSE,632.39,2953,1102,0.000325,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0042,False,False,True,True,labeled:FALSE,673.29,2953,1517,0.000403,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0043,True,False,False,True,labeled:FALSE,694.46,2953,1457,0.000392,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0044,False,False,True,True,labeled:FALSE,715.56,2952,1362,0.000374,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0045,False,False,True,True,labeled:FALSE,746.73,2953,2003,0.000496,REASONING: default false fallback\nVERDICT: FALSE
hard3_0046,True,False,False,True,labeled:FALSE,772.40,2953,865,0.000280,REASONING: default false fallback\nVERDICT: FALSE
hard3_0047,True,True,True,True,labeled:TRUE,776.84,2952,435,0.000198,REASONING: The source equation is bare: x = ((y * z) * y) * x. It matches the right‑projection pattern x = T * x where T = ((y*z)*y) does not contain x. By rule 2.7 this forces the law a * b = b in ev
hard3_0048,True,True,True,True,labeled:TRUE,800.18,2953,779,0.000263,"REASONING: The source equation is bare (single variable on the left): x = ((y*z)*z)*x. It can be rewritten as x = T * x with T = ((y*z)*z), and T does not contain x. By rule 2.7 (right projection), th"
hard3_0049,True,True,True,True,labeled:TRUE,817.67,2953,637,0.000236,"REASONING: The source equation is bare (x = T) with T = ((y*z)*w)*x. Computing the required features for the product side P = ((y*z)*w)*x yields:\n- rhsVars = 4 (variables y, z, w, x)\n- Lx = FALSE (l"
hard3_0050,False,False,True,True,labeled:FALSE,852.63,2951,1748,0.000447,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0051,True,True,True,True,labeled:TRUE,885.20,2951,1601,0.000419,REASONING: From the premise \(x * y = z * (x * z)\) we first observe that the right‑hand side does not contain the variable \(y\). Hence the left‑hand side must be independent of \(y\); i.e. for each 
hard3_0052,True,False,False,True,labeled:FALSE,881.97,2952,299,0.000172,REASONING: default false fallback\nVERDICT: FALSE
hard3_0053,True,False,False,True,labeled:FALSE,925.55,2952,1294,0.000361,REASONING: default false fallback\nVERDICT: FALSE
hard3_0054,True,True,True,True,labeled:TRUE,936.32,2951,648,0.000238,"REASONING: The source equation `x * y = z * (z * w)` matches the constant‑operation pattern: the left side is a product of variables `x` and `y`, while the right side is a product `z * (z * w)` that i"
hard3_0055,False,True,False,True,labeled:TRUE,981.59,2951,1531,0.000406,"REASONING: The premise of all FALSE routes is not satisfied (Eq1 is not bare, its sides have different WORDs, PARITYs differ, etc.). No counterexample can be found because any magma satisfying the sou"
hard3_0056,False,False,True,True,labeled:FALSE,1011.47,2952,1827,0.000462,REASONING: default false fallback\nVERDICT: FALSE
hard3_0057,False,True,False,True,labeled:TRUE,1013.45,2948,708,0.000249,"REASONING: The source equation `x * x = (y * z) * z` can be renamed to the form `a * b = T` where `a = x`, `b = x` and `T = (y * z) * z`. The term `T` contains only the variables `y` and `z`, which ar"
hard3_0058,True,False,False,True,labeled:FALSE,1045.80,2948,939,0.000293,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0059,False,True,False,True,labeled:TRUE,1071.76,2952,1845,0.000466,"REASONING: The source equation `x * x = (y * z) * w` has the form `x * x = T` where the right‑hand side `T` contains none of the variables `x` (its variable set is `{y,z,w}`). By rule 2.4 (constant‑op"
hard3_0060,True,True,True,True,labeled:TRUE,1113.18,2952,2474,0.000585,"REASONING: No true route from STEP 2 applies directly, but no false route from STEP 3 fires (the premises of spine isolation, word/ parity/ leftmost/ rightmost/ set/ count exclusions are not satisfied"
hard3_0061,True,True,True,True,labeled:TRUE,1130.59,2951,1181,0.000339,"REASONING: The source equation is  \n\(x * y = (z * z) * z\).  \nThe right‑hand side contains only the variable \(z\); the left‑hand side contains only \(x,y\).  \nThus the sets of variables on the tw"
hard3_0062,False,False,True,True,labeled:FALSE,1168.12,2956,1869,0.000470,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0063,False,False,True,True,labeled:FALSE,1204.41,2956,2313,0.000555,"REASONING: The premise does not match any TRUE route in Steps 2‑2.11, and no FALSE syntactic exclusion (Spine Isolation, WORD, PARITY, leftmost, rightmost, SET, AB) applies. No small‑witness magma was"
hard3_0064,False,False,True,True,labeled:FALSE,1233.45,2956,1923,0.000481,REASONING: default false fallback\nVERDICT: FALSE
hard3_0065,False,True,False,True,labeled:TRUE,1245.83,2952,711,0.000250,"REASONING: The source equation is bare (x = x * T) with T = y * (x * (x * z)). Analyzing the product side P = y * (x * (x * z)) yields the feature vector:\nrhsVars=3, Lx=FALSE, Rx=FALSE, xTop=right, t"
hard3_0066,True,True,True,True,labeled:TRUE,1261.78,2957,563,0.000222,"REASONING: The source equation is bare (x = x * T) with T = y * (x * (z * w)). Analyzing the product side P = y * (x * (z * w)) we obtain the feature vector:\nrhsVars=4, Lx=FALSE, Rx=FALSE, xTop=right"
hard3_0067,True,True,True,True,labeled:TRUE,1318.19,2956,2235,0.000540,REASONING:  \nEq1 is a bare equation of the form x = x * T where the term T does not contain x as a subterm of the leftmost factor of the topmost product.  In Eq1 the right‑hand side is  \n T = x * (y
hard3_0068,True,False,False,True,labeled:FALSE,36.45,2956,1957,0.000487,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0069,False,False,True,True,labeled:FALSE,45.17,2957,1198,0.000343,REASONING: default false fallback\nVERDICT: FALSE
hard3_0070,False,False,True,True,labeled:FALSE,73.67,2953,1479,0.000396,REASONING: default false fallback\nVERDICT: FALSE\nPROOF:
hard3_0071,False,False,True,True,labeled:FALSE,101.56,2957,852,0.000277,"REASONING: parity exclusion (Rule 3.2) – Eq1 has equal parity of variables on both sides (x odd, y even), while Eq2’s sides have different parity (left side has y even, z even, x odd; right side only "
