problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,False,True,True,labeled:FALSE,443.07,3054,687,0.000702,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a * b = b):\n   - Equation 1: x = y * (y * ((x * y) * x)).\n     Right-zero reduction: x = x. (Holds)\n   - Equation
hard1_0002,False,False,True,True,labeled:FALSE,481.75,3055,880,0.000780,"VERDICT: FALSE\nRULE: word exclusion\n\nReasoning:\n1. Equation 1: x * (y * z) = (z * w) * w.\n   WORD(left) = [x, y, z], WORD(right) = [z, w, w].\n   The words are different, so WORD exclusion (3.1) "
hard1_0003,True,False,False,True,labeled:FALSE,210.43,3052,565,0.000653,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = ((y * y) * z) * x.\n     Right-zero reduction: Left side = x; Right side = x. (Holds
hard1_0004,False,False,True,True,labeled:FALSE,430.01,3055,762,0.000733,"VERDICT: FALSE\nRULE: word exclusion\n\nReasoning:\n1. Equation 1: (x * y) * x = (x * z) * w.\n   WORD(left) = [x, y, x], WORD(right) = [x, z, w].\n   The words are different, so WORD exclusion (3.1) "
hard1_0005,False,False,True,True,labeled:FALSE,98.26,3054,825,0.000758,VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. Test Equation 1 (x = ((y * z) * (z * x)) * y) under left-zero (a * b = a):\n   LHS = x\n   RHS = ((y * z) * (z * x)) * y = (y * (z * x)) * y =
hard1_0006,False,False,True,True,labeled:FALSE,141.80,3047,299,0.000546,"VERDICT: FALSE\nRULE: count exclusion\n\nReasoning:\n1. Equation 1: x * x = (x * y) * z.\n   - Left side variable counts: {x: 2}\n   - Right side variable counts: {x: 1, y: 1, z: 1}\n   - The variable"
hard1_0007,True,False,False,True,labeled:FALSE,669.09,3054,758,0.000731,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = (y * (y * (y * z))) * x.\n     Right-zero reduction: x = x. (Holds)\n   - Equation 2
hard1_0008,False,True,False,True,labeled:TRUE,29.02,3055,178,0.000499,VERDICT: TRUE\nRULE: left projection\n\nReasoning:\n1. Equation 1 is $x = x * (y * ((y * z) * y))$. This is of the form $x = x * T$ where $T = (y * ((y * z) * y))$.\n2. The term $T$ does not contain t
hard1_0009,False,True,False,True,labeled:TRUE,157.01,3055,968,0.000815,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = ((x * x) * (y * z)) * y.\n     Right-zero reduction: x = y.\n     This does not hold
hard1_0010,False,False,True,True,labeled:FALSE,342.47,3055,581,0.000660,"VERDICT: FALSE\nRULE: word exclusion\n\nReasoning:\n1. Equation 1: (x * x) * y = (y * y) * z.\n   WORD(left) = [x, x, y], WORD(right) = [y, y, z].\n   The words are different, so WORD exclusion (3.1) "
hard1_0011,False,False,True,True,labeled:FALSE,14.68,3057,164,0.000494,VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. Test Equation 1 under left-zero (a*b = a):\n   LHS: x\n   RHS: (x * (y * z)) * (w * y) -> x * (w * y) -> x\n   x = x holds.\n2. Test Equation 
hard1_0012,False,True,False,True,labeled:TRUE,192.13,3055,782,0.000741,"VERDICT: FALSE\nRULE: count exclusion\n\nReasoning:\n1. Equation 1: (x * y) * x = (z * w) * u.\n2. Check variable counts (AB) for Equation 1:\n   Left side: {x: 2, y: 1}\n   Right side: {z: 1, w: 1, u"
hard1_0013,True,False,False,True,labeled:FALSE,601.37,3053,658,0.000691,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a * b = b):\n   - Equation 1: x * y = ((z * y) * x) * x.\n     Left side: x * y → y.\n     Right side: ((z * y) * x)
hard1_0014,False,False,True,True,labeled:FALSE,577.01,3056,629,0.000679,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = (y * x) * (x * (x * z)).\n     Right-zero reduction: (y * x) * (x * (x * z)) → (x) *
hard1_0015,False,False,True,True,labeled:FALSE,100.39,3054,626,0.000678,"VERDICT: FALSE\nRULE: word exclusion\n\nReasoning:\n1. Equation 1: x * x = x * (y * (z * y)).\n   WORD(left) = [x, x], WORD(right) = [x, y, z, y].\n   The words are different, so WORD exclusion (3.1) "
hard1_0016,False,False,True,True,labeled:FALSE,300.05,3057,816,0.000754,"VERDICT: FALSE\nRULE: word exclusion\n\nReasoning:\n1. Equation 1: x = (x * y) * (x * (y * z)).\n   WORD(left) = [x]\n   WORD(right) = [x, y, x, y, z]\n   The words are different, so WORD exclusion (3"
hard1_0017,False,False,True,True,labeled:FALSE,443.76,3055,629,0.000679,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * (((x * y) * x) * y). Rightmost variable of LHS is x. Rightmost variable of RHS i
hard1_0018,True,False,False,True,labeled:FALSE,86.20,3056,601,0.000668,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = ((y * x) * y) * (z * z).\n     Right-zero reduction: x = z.\n     This does not hold
hard1_0019,False,False,True,True,labeled:FALSE,564.34,3053,559,0.000651,VERDICT: FALSE\nRULE: leftmost exclusion\n\nReasoning:\n1. Equation 1: x * y = (x * (y * x)) * z. Leftmost variable of LHS is x; leftmost variable of RHS is x.\n2. Equation 2: x * y = (x * (x * z)) * 
hard1_0020,False,False,True,True,labeled:FALSE,436.70,3055,139,0.000483,VERDICT: FALSE\nRULE: leftmost exclusion\n\nReasoning:\n1. Equation 1: x * (y * z) = (x * x) * z.\n2. Leftmost variable of LHS of Eq1 is x; leftmost variable of RHS of Eq1 is x.\n3. Equation 2: x * (y
hard1_0021,False,False,True,True,labeled:FALSE,562.77,3052,659,0.000691,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * ((y * x) * (x * y)).\n     Right-zero reduction: x = (y * x) * (x * y) = (x) * (
