problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard1_0001,False,False,True,True,labeled:FALSE,272.16,3054,696,0.000706,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = y * (y * ((x * y) * x)).\n     Right-zero reduction: x = x. (Holds)\n   - Equation 2
hard1_0002,False,False,True,True,labeled:FALSE,154.94,3055,860,0.000772,"VERDICT: FALSE\nRULE: word exclusion\n\nReasoning:\n1. Equation 1: x * (y * z) = (z * w) * w.\n   WORD(left) = [x, y, z], WORD(right) = [z, w, w].\n   The words are different, so WORD exclusion (3.1) "
hard1_0003,True,False,False,True,labeled:FALSE,178.98,3052,846,0.000766,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = ((y * y) * z) * x.\n     Right-zero reduction: Left side = x; Right side = x. (Holds
hard1_0004,False,False,True,True,labeled:FALSE,284.10,3055,520,0.000636,"VERDICT: FALSE\nRULE: word exclusion\n\nReasoning:\n1. Equation 1: (x * y) * x = (x * z) * w.\n   WORD(left) = [x, y, x], WORD(right) = [x, z, w].\n   The words are different, so WORD exclusion (3.1) "
hard1_0005,False,False,True,True,labeled:FALSE,576.45,3054,698,0.000707,VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. Test Equation 1 (x = ((y * z) * (z * x)) * y) under left-zero (a * b = a):\n   LHS = x\n   RHS = ((y * z) * (z * x)) * y = (y * (z * x)) * y =
hard1_0006,False,False,True,True,labeled:FALSE,74.73,3047,299,0.000546,"VERDICT: FALSE\nRULE: count exclusion\n\nReasoning:\n1. Equation 1: x * x = (x * y) * z.\n   - Left side variable counts: {x: 2}\n   - Right side variable counts: {x: 1, y: 1, z: 1}\n   - The variable"
hard1_0007,True,False,False,True,labeled:FALSE,222.22,3054,701,0.000708,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = (y * (y * (y * z))) * x.\n     Right-zero reduction: x = x. (Holds)\n   - Equation 2
hard1_0008,False,True,False,True,labeled:TRUE,443.68,3055,188,0.000503,VERDICT: TRUE\nRULE: left projection\n\nReasoning:\n1. Equation 1 is $x = x * (y * ((y * z) * y))$. This is of the form $x = x * T$ where $T = (y * ((y * z) * y))$.\n2. The term $T$ does not contain t
hard1_0009,False,False,True,True,labeled:FALSE,48.62,3055,478,0.000619,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a*b = b):\n   - Equation 1: x = ((x * x) * (y * z)) * y.\n     Right-zero reduction: x = y.\n     This does not hold
hard1_0010,False,False,True,True,labeled:FALSE,253.81,3055,673,0.000697,"VERDICT: FALSE\nRULE: word exclusion\n\nReasoning:\n1. Equation 1: (x * x) * y = (y * y) * z.\n   WORD(left) = [x, x, y], WORD(right) = [y, y, z].\n   The words are different, so WORD exclusion (3.1) "
hard1_0011,False,False,True,True,labeled:FALSE,307.94,3057,192,0.000505,VERDICT: FALSE\nRULE: left-zero witness\n\nReasoning:\n1. Test Equation 1 (x = (x * (y * z)) * (w * y)) under left-zero (a*b = a):\n   LHS = x\n   RHS = (x * (y * z)) * (w * y) -> x * (w * y) -> x\n  
hard1_0012,False,False,True,True,labeled:FALSE,575.42,3055,825,0.000758,"VERDICT: FALSE\nRULE: count exclusion\n\nReasoning:\n1. Equation 1: (x * y) * x = (z * w) * u.\n2. Check variable counts (AB) for Equation 1:\n   Left side: {x: 2, y: 1}\n   Right side: {z: 1, w: 1, u"
hard1_0013,True,False,False,True,labeled:FALSE,187.93,3053,698,0.000707,VERDICT: FALSE\nRULE: right-zero witness\n\nReasoning:\n1. Test Right-zero witness (a * b = b):\n   - Equation 1: x * y = ((z * y) * x) * x\n     Left side: x * y → y\n     Right side: ((z * y) * x) *
