problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard3_0001,True,True,True,True,labeled:TRUE,2.51,2551,33,0.000370,"REASONING: F2\nPROOF: A forces right projection, and both sides of B have the same rightmost leaf x.\nVERDICT: TRUE"
hard3_0002,True,False,False,True,labeled:FALSE,20.82,2555,52,0.000379,"REASONING: A1\nPROOF: \nCOUNTEREXAMPLE: Under u * v = v + 1 (mod 3), A holds (x = x) but B fails (x = x + 1).\nVERDICT: FALSE"
hard3_0003,True,False,False,True,labeled:FALSE,31.20,2555,57,0.000381,"REASONING: A1\nPROOF: \nCOUNTEREXAMPLE: Under u * v = v + 1 (mod 3), A holds (x = x) but B fails (x = x + 4 = x + 1).\nVERDICT: FALSE"
hard3_0004,True,False,False,True,labeled:FALSE,41.36,2555,66,0.000384,"REASONING: A1\nPROOF: \nCOUNTEREXAMPLE: Under u * v = v + 1 (mod 3), A holds (x = x + 2 + 1 = x) but B fails (x + 1 = x + 2 + 1).\nVERDICT: FALSE"
hard3_0005,True,False,False,True,labeled:FALSE,57.78,2554,70,0.000386,"REASONING: A1\nPROOF: \nCOUNTEREXAMPLE: Under u * v = v + 1 (mod 3), A holds (x = x) but B fails (x * y = y + 1, y * ((y * x) * y) = y + 2).\nVERDICT: FALSE"
hard3_0006,True,True,True,True,labeled:TRUE,70.98,2553,44,0.000375,"REASONING: F3\nPROOF: A forces left-unary behavior, and both sides of B have (x, 1) as their (leftmost leaf, left depth).\nVERDICT: TRUE"
hard3_0007,False,True,False,True,labeled:TRUE,87.29,2553,40,0.000373,"REASONING: F3\nPROOF: A forces left-unary behavior, and both sides of B have the same leftmost leaf x at the same depth 1.\nVERDICT: TRUE"
hard3_0008,True,True,True,True,labeled:TRUE,148.10,2553,1383,0.000911,"REASONING: A1\nPROOF: \nCOUNTEREXAMPLE: Under u * v = v + 1 (mod 3), A holds (x*x = x+1, y*z = z+1, so x+1 = z+1 is not generally true). Wait, let me re-evaluate A1.\n\nA: x * x = y * z\nA.lhs: x * x "
hard3_0009,False,False,True,True,labeled:FALSE,116.94,2558,52,0.000379,"REASONING: A1\nPROOF: \nCOUNTEREXAMPLE: Under u * v = v + 1 (mod 3), A holds (x = x) but B fails (x = z + 2).\nVERDICT: FALSE"
hard3_0010,False,False,True,True,labeled:FALSE,128.22,2557,40,0.000374,"REASONING: A1\nPROOF: \nCOUNTEREXAMPLE: Under u * v = v + 1 (mod 3), A holds but B fails.\nVERDICT: FALSE"
hard3_0011,False,False,True,True,labeled:FALSE,141.48,2558,52,0.000379,"REASONING: A1\nPROOF: \nCOUNTEREXAMPLE: Under u * v = v + 1 (mod 3), A holds (x = x) but B fails (x = x + 1).\nVERDICT: FALSE"
hard3_0012,False,False,True,True,labeled:FALSE,146.96,2558,40,0.000374,"REASONING: A1\nPROOF: \nCOUNTEREXAMPLE: Under u * v = v + 1 (mod 3), A holds but B fails.\nVERDICT: FALSE"
hard3_0013,False,False,True,True,labeled:FALSE,152.29,2558,46,0.000377,"REASONING: A1\nPROOF: \nCOUNTEREXAMPLE: Under u * v = v + 1 (mod 3), A holds but B becomes x = x + 1.\nVERDICT: FALSE"
hard3_0014,True,False,False,True,labeled:FALSE,156.75,2558,52,0.000379,"REASONING: A1\nPROOF: \nCOUNTEREXAMPLE: Under u * v = v + 1 (mod 3), A holds (x = x) but B fails (x = x + 2).\nVERDICT: FALSE"
hard3_0015,True,False,False,True,labeled:FALSE,162.82,2557,40,0.000374,"REASONING: A1\nPROOF: \nCOUNTEREXAMPLE: Under u * v = v + 1 (mod 3), A holds but B fails.\nVERDICT: FALSE"
hard3_0016,False,False,True,True,labeled:FALSE,171.44,2558,71,0.000387,"REASONING: A1\nPROOF: \nCOUNTEREXAMPLE: Under u * v = v + 1 (mod 3), A holds (x = x) but B fails (x * y = y + 1, (y * y) * (y * y) = y + 2).\nVERDICT: FALSE"
hard3_0017,False,False,True,True,labeled:FALSE,173.27,2555,52,0.000379,"REASONING: A1\nPROOF: \nCOUNTEREXAMPLE: Under u * v = v + 1 (mod 3), A holds (x = x) but B fails (x = x + 2).\nVERDICT: FALSE"
hard3_0018,False,False,True,True,labeled:FALSE,177.74,2558,52,0.000379,"REASONING: A1\nPROOF: \nCOUNTEREXAMPLE: Under u * v = v + 1 (mod 3), A holds (x = x) but B fails (x = x + 1).\nVERDICT: FALSE"
