problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard2_0001,False,False,True,True,labeled:FALSE,1362.32,3532,780,0.000806,"REASONING:\nEq1: x * (y * z) = (y * w) * w\nEq2: x * (y * y) = (z * w) * u\n\nStep 1: Extract Features\nEq1: LHS = x * (y * z), RHS = (y * w) * w.\nWORD(LHS) = [x, y, z], WORD(RHS) = [y, w, w].\nSET(L"
hard2_0002,False,False,True,True,labeled:FALSE,119.57,3533,1099,0.000934,"REASONING:\nEq1: x = y * ((y * (y * x)) * x)\nEq2: x = (y * (z * y)) * (y * x)\n\nStep 1: Extract Features\nEq1: Bare source x = T. T = y * ((y * (y * x)) * x).\nWORD(T) = [y, y, y, x, x].\nSET(T) = {"
hard2_0003,True,False,False,True,labeled:FALSE,1092.48,3530,816,0.000821,"REASONING:\nEq1: x * y = y * (x * (z * x))\nEq2: x * y = (y * (z * x)) * y\n\nStep 1: Extract Features\nEq1: LHS = x * y, RHS = y * (x * (z * x))\nWORD(LHS) = [x, y], WORD(RHS) = [y, x, z, x]\nSET(LHS"
hard2_0004,True,True,True,True,labeled:TRUE,1225.73,3532,523,0.000704,REASONING:\nEq1: x = (((y * y) * x) * x) * z\nEq2: x = y * ((x * (y * z)) * w)\n\nStep 1: Extract Features\nEq1: x = P where P = (((y * y) * x) * x) * z.\nEq2: x = S where S = y * ((x * (y * z)) * w).
hard2_0005,True,False,False,True,labeled:FALSE,1061.98,3532,1206,0.000977,"REASONING:\nEq1: x = y * ((z * (z * x)) * y)\nEq2: x = (x * ((x * y) * y)) * x\n\nStep 1: Extract Features\nEq1: Bare source x = T. T = y * ((z * (z * x)) * y).\nWORD(T) = [y, z, z, x, y].\nSET(T) = {"
hard2_0006,True,True,True,True,labeled:TRUE,862.14,3533,554,0.000716,REASONING:\nEq1: x = y * (z * (x * (x * w)))\nEq2: x = ((y * y) * x) * (y * y)\n\nStep 1: Extract Features\nEq1: Bare source x = T where T = y * (z * (x * (x * w))).\nEq2: Bare target x = S where S = 
hard2_0007,False,False,True,True,labeled:FALSE,48.16,3532,903,0.000856,"REASONING: \nEq1: x * (x * y) = (z * y) * w\nEq2: x * (x * y) = y * (z * y)\n\nStep 1: Extract Features\nEq1: LHS = x * (x * y), RHS = (z * y) * w\nWORD(LHS) = [x, x, y], WORD(RHS) = [z, y, w]\nSET(LH"
hard2_0008,True,True,True,True,labeled:TRUE,103.64,3532,551,0.000715,REASONING:\nEq1: x = y * (x * (x * (z * y)))\nEq2: x = x * (x * ((y * y) * x))\n\nStep 1: Extract Features\nEq1: Bare source x = T. T = y * (x * (x * (z * y))).\nEq2: Bare source x = S. S = x * (x * (
hard2_0009,False,False,True,True,labeled:FALSE,215.71,3532,937,0.000869,REASONING:\nEq1: x = y * ((x * z) * (z * y))\nEq2: x = ((x * y) * (y * y)) * y\n\nStep 1: Extract Features\nEq1: Bare source x = T. T = y * ((x * z) * (z * y)).\nEq2: Bare target x = S. S = ((x * y) *
hard2_0010,False,False,True,True,labeled:FALSE,451.25,3533,948,0.000874,"REASONING:\nEq1: x = (x * y) * ((x * y) * y)\nEq2: x = (x * (x * (x * x))) * y\n\nStep 1: Extract Features\nEq1: LHS = x, RHS = (x * y) * ((x * y) * y). Bare source.\nEq2: LHS = x, RHS = (x * (x * (x "
